caption_index,video_id,sport,caption_id,caption
0,video1623,basketball,0,a basketball game being played
1,video1623,basketball,1,a basketball player runs down the court and scores
2,video1623,basketball,2,a basketball player shoots a layup
3,video1623,basketball,3,a clip of basketball game dunk
4,video1623,basketball,4,a person is explaining something
5,video1623,basketball,5,a team members scores in a basketball match
6,video1623,basketball,6,athletes score points for their teams
7,video1623,basketball,7,commentary of a basket ball match
8,video1623,basketball,8,guy slam dunks and scores a point
9,video1623,basketball,9,men are playing basketball
10,video1623,basketball,10,men are playing basketball
11,video1623,basketball,11,people are playing basketball
12,video1623,basketball,12,people play basketball
13,video1623,basketball,13,person playing a game
14,video1623,basketball,14,players playing basketball and someone dunking
15,video1623,basketball,15,the people are playing basket ball
16,video1623,basketball,16,the person is dunking a basketball
17,video1623,basketball,17,the players are playing basket ball
18,video1623,basketball,18,there are men playing basketball
19,video1623,basketball,19,a basketball player runs down the court and scores
20,video1667,basketball,0,a basketball player does a slam dunk
21,video1667,basketball,1,a man does basketball trick shots
22,video1667,basketball,2,a man is dunking
23,video1667,basketball,3,a man preforms a slam dunk
24,video1667,basketball,4,a video clip showcasing basketball dunks
25,video1667,basketball,5,a video shows men performing athletic and impressive basketball dunks
26,video1667,basketball,6,different people doing tricks with a basketball
27,video1667,basketball,7,man does backflips then a slam dunk
28,video1667,basketball,8,men are dunking a basketball
29,video1667,basketball,9,men are jumping over each other to dunk a basketball
30,video1667,basketball,10,men are shown in different places playing basketball
31,video1667,basketball,11,men dunking basketball clips
32,video1667,basketball,12,men slam dunking a basketball
33,video1667,basketball,13,people are playing basket ball
34,video1667,basketball,14,people make basketball dunks
35,video1667,basketball,15,people playing basketball
36,video1667,basketball,16,the men are doing dunking tricks on the courts
37,video1667,basketball,17,this is a sporting video depicting basketball
38,video1667,basketball,18,this video is all about basketball
39,video1667,basketball,19,people playing basketball
40,video2101,basketball,0,a basketball player shoots a basket
41,video2101,basketball,1,a clip of basketball highlights
42,video2101,basketball,2,a man shoots a basketball
43,video2101,basketball,3,a montage of basketball players dunking the ball
44,video2101,basketball,4,a player bounces the a basketball off the headboard while another player swoops in and throws it in
45,video2101,basketball,5,a rap song plays over a basketball game
46,video2101,basketball,6,a scene from a basket ball game
47,video2101,basketball,7,a video of a professional basketball game
48,video2101,basketball,8,basketball game set to music
49,video2101,basketball,9,basketball gameplay is shown
50,video2101,basketball,10,basketball player playing in a game
51,video2101,basketball,11,basketball players make successful baskets while music plays
52,video2101,basketball,12,its a basket ball game
53,video2101,basketball,13,people are playing basketball
54,video2101,basketball,14,people playing pro basketball
55,video2101,basketball,15,several basketball clips with a music background
56,video2101,basketball,16,some men are playing basketball
57,video2101,basketball,17,several basketball clips with a music background
58,video2101,basketball,18,people playing pro basketball
59,video2101,basketball,19,a basketball player shoots a basket
60,video2161,basketball,0,a basket ball game between the lakers and the heat
61,video2161,basketball,1,a basketball game with a replay of a slam dunk
62,video2161,basketball,2,a basketball match and a player is putting a ball into the basket
63,video2161,basketball,3,a basketball player is putting the ball into the basket from distance
64,video2161,basketball,4,a couple of slam dunk highlights from nba games
65,video2161,basketball,5,a man makes a basket
66,video2161,basketball,6,a man performs a slam dunk in a basketball game
67,video2161,basketball,7,a man scores a goal in basketball
68,video2161,basketball,8,a player dunks the ball in a basketball game
69,video2161,basketball,9,a professional basketball game is taking place
70,video2161,basketball,10,an announcer briefly talks about a basketball star
71,video2161,basketball,11,basketball player slam dunking
72,video2161,basketball,12,commentary of a basket ball match
73,video2161,basketball,13,commentators talk about a basketball game
74,video2161,basketball,14,gerald green of the phoenix suns is going up for an extraordinary dunk
75,video2161,basketball,15,guys running up a court
76,video2161,basketball,16,player dunked the basketball
77,video2161,basketball,17,teams are playing basketball
78,video2161,basketball,18,the phoenix suns play basketball
79,video2161,basketball,19,the players played ball
80,video2305,basketball,0,a man with red shorts on is trying to hit some hoops
81,video2305,basketball,1,a man shoots a series of basketball trick shots from long range
82,video2305,basketball,2,two guys practicing basket ball and trying stunts
83,video2305,basketball,3,basket ball players are playing ball
84,video2305,basketball,4,a bearded teenager stands away from the side of a gym hoop under a slanted and gridded ceiling and throws a basketball through the hoop
85,video2305,basketball,5,in the basketball indoor stadium the black and red shirt player and black shirt and black pant players are taking practice
86,video2305,basketball,6,a man is practicing a volley ball game
87,video2305,basketball,7,guy putting the basketball into the basket
88,video2305,basketball,8,a basketball player in an indoor court along with his friend demonstrates a perfect side court basket shot
89,video2305,basketball,9,guy with ball in hands the he dropped on box another man standing on same place
90,video2305,basketball,10,two boys one in black and one in red shorts are playing basketball
91,video2305,basketball,11,a man looks into the camera before he and a friend take very far three point shots
92,video2305,basketball,12,two guys showing side shots of baskeball while the other watches
93,video2305,basketball,13,a young man demonstrates a basketball shot in a school gym
94,video2305,basketball,14,a man wearing red shorts soots a ball into a hoop then another man does the same
95,video2305,basketball,15,a blue color dress cloth boy holding ball in hand explayning how to position ball throwing and putting in net displaying on screen
96,video2305,basketball,16,a boy in blue dress color wearing cloth standing inside ground and putting ball into net playing basket ball game displaying on screen
97,video2305,basketball,17,a boy in blue color dress standing holding a ball in hand and throwing into net basket ball speaking displaying on screen
98,video2305,basketball,18,a man shooting basketball into a hoop on an indoor basketball court
99,video2305,basketball,19,some people in a court are doing something
100,video2390,basketball,0,a basketball game is played
101,video2390,basketball,1,a basketball player performs two slam dunks
102,video2390,basketball,2,a highlight reel shows several sports clips
103,video2390,basketball,3,a man is dribbling
104,video2390,basketball,4,a man is jumping and putting the basketball in the basket
105,video2390,basketball,5,a man is speaking to a reporter
106,video2390,basketball,6,a man is standing
107,video2390,basketball,7,basket ball playing by players
108,video2390,basketball,8,basketball player making dunk shots during a game
109,video2390,basketball,9,grown men are playing basketball
110,video2390,basketball,10,highlight of basketball game with exciting dunk by player
111,video2390,basketball,11,hip hop music playing as a basketball game is shown
112,video2390,basketball,12,people are playing basketball
113,video2390,basketball,13,people are playing basketball
114,video2390,basketball,14,player dunked the basketball
115,video2390,basketball,15,players playing basket ball
116,video2390,basketball,16,several views of a basketball player dunking a ball are shown
117,video2390,basketball,17,shows the crowd then basketball players playing basketball
118,video2390,basketball,18,there are different clips of a basketball game
119,video2390,basketball,19,hip hop music playing as a basketball game is shown
120,video2877,basketball,0,a basketball player shoots a layup
121,video2877,basketball,1,a man shoots a basketball
122,video2877,basketball,2,a player trickly taking the ball to put a goal
123,video2877,basketball,3,a terrific basket ball play
124,video2877,basketball,4,basket ball players playing a tournament
125,video2877,basketball,5,it is a clip of chicago bulls basketball players
126,video2877,basketball,6,it is about a basket ball competition
127,video2877,basketball,7,michael jordan is clowning on other players during a game
128,video2877,basketball,8,michael jordan is playing basketball
129,video2877,basketball,9,micheal jordon playing basketball
130,video2877,basketball,10,people are playing basket ball
131,video2877,basketball,11,people are playing basketball
132,video2877,basketball,12,player dunked the basketball
133,video2877,basketball,13,popular highlights of micheal jordan
134,video2877,basketball,14,scene from a basketball game
135,video2877,basketball,15,the video contains classic basketball games from the past
136,video2877,basketball,16,there is a professional basketball game and someone is making a basket
137,video2877,basketball,17,this is basketball video
138,video2877,basketball,18,video of athletes performing amazing plays
139,video2877,basketball,19,people are playing basketball
140,video2994,basketball,0,a basketball game is played and commentated
141,video2994,basketball,1,a basketball player (kobe bryant) runs toward the basket and dunks it in
142,video2994,basketball,2,a basketball player dunking the ball
143,video2994,basketball,3,a basketball player dunks the ball
144,video2994,basketball,4,a basketball player shoots a basket
145,video2994,basketball,5,a basketball player shoots a slam dunk into a hoop
146,video2994,basketball,6,a clip of a kobe bryant basketball play
147,video2994,basketball,7,a pro basketball game
148,video2994,basketball,8,a woman talking on talkshow
