video_id,image_path,video_path,caption_1
video1002,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1002.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1002.mp4,a baseball pitcher practicing his pitches
video1030,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1030.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1030.mp4,a man talks about football scores
video1071,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1071.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1071.mp4,a couple of people shooting a basketball
video1077,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1077.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1077.mp4,a commercial for a soccer video game
video1211,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1211.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1211.mp4,a cowboy and a police officer firings guns followed by football action
video1241,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1241.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1241.mp4,a game of soccer is being played
video1247,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1247.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1247.mp4,a football player scores a touchdown
video1249,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1249.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1249.mp4,a clip of a football game
video1295,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1295.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1295.mp4,a football player makes a point for his team
video1327,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1327.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1327.mp4,a clip of a soccer match
video1329,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1329.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1329.mp4,a basketball assist leads to a slam-dunk
video1354,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1354.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1354.mp4,a football player is tackling another player
video136,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video136.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video136.mp4,today were are talking about running downhill as we watch a bunch of people running
video1368,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1368.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1368.mp4,a cartoon animal is running around
video1397,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1397.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1397.mp4,a dog is playing in a swimming pool with another dog
video1408,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1408.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1408.mp4,a football player with a football
video1480,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1480.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1480.mp4,a man is jumping and running while another man is watching
video1536,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1536.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1536.mp4,two extremely talented athletes are vying for the win in a table tennis match
video1543,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1543.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1543.mp4,a man in green t-shirt is practising his table tennis skills
video157,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video157.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video157.mp4,a compilation of fight videos dance video and basketball footage with a rap music in the background
video158,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video158.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video158.mp4,a football player is being interviewed on the field
video1585,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1585.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1585.mp4,a crowd cheering while watching a football game
video1608,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1608.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1608.mp4,there is going on a table tennis game between two people one is in yellow and the other is in red dressing
video1623,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1623.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1623.mp4,a basketball game being played
video1652,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1652.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1652.mp4,a basketball player shooting a jump shot and then celebrating afterwords
