image_id,image_path,caption,clipscore_simplificado,categoria_error,severidad_1_a_5,evidencia_visual,comentario_tecnico
img_00008,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00008.jpg,A girl in a white dress .,0.21802816,pendiente,pendiente,pendiente,pendiente
img_00068,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00068.jpg,The men are climbing .,0.24157627,pendiente,pendiente,pendiente,pendiente
img_00046,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00046.jpg,A man in the dooorway of a bus looking onward .,0.25310516,pendiente,pendiente,pendiente,pendiente
img_00065,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00065.jpg,An attractive woman holds a halo above her head .,0.2535588,pendiente,pendiente,pendiente,pendiente
img_00153,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00153.jpg,A person in an airplane .,0.25451297,pendiente,pendiente,pendiente,pendiente
img_00123,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00123.jpg,A bicycle rider flies over a hill while a competitor is not far behind .,0.25546083,pendiente,pendiente,pendiente,pendiente
img_00027,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00027.jpg,A group of people in front of a house .,0.25627676,pendiente,pendiente,pendiente,pendiente
img_00030,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00030.jpg,A group of mountain climbers,0.2584157,pendiente,pendiente,pendiente,pendiente
img_00159,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00159.jpg,There is a college player being tackled in a game .,0.26182345,pendiente,pendiente,pendiente,pendiente
img_00089,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00089.jpg,A man and woman walk away from the camera as a redheaded man walks in the other direction .,0.2621941,pendiente,pendiente,pendiente,pendiente
img_00036,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00036.jpg,A car sponsored by Riwal is smoking its tires on a wet road .,0.26544636,pendiente,pendiente,pendiente,pendiente
img_00132,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00132.jpg,A bunch on people are seated in a stadium .,0.26766554,pendiente,pendiente,pendiente,pendiente
img_00075,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00075.jpg,A man is playing with a fire baton in the day light .,0.26894847,pendiente,pendiente,pendiente,pendiente
img_00039,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00039.jpg,A man in sunglasses gets ready to pull a chair out to sit down for his meal .,0.27190566,pendiente,pendiente,pendiente,pendiente
img_00122,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00122.jpg,A guy tries to climb a stone cliff while his friend helps him .,0.27678016,pendiente,pendiente,pendiente,pendiente
img_00147,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00147.jpg,A kid doing a trick on a skateboard .,0.27909833,pendiente,pendiente,pendiente,pendiente
img_00131,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00131.jpg,A dog in a snowy area .,0.2792693,pendiente,pendiente,pendiente,pendiente
img_00087,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00087.jpg,A driver is at the wheel of a race car .,0.28140795,pendiente,pendiente,pendiente,pendiente
img_00100,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00100.jpg,A group of climbers begin up a sheer rock face .,0.28160006,pendiente,pendiente,pendiente,pendiente
img_00124,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00124.jpg,A crowd is standing and cheering at a football game .,0.28254396,pendiente,pendiente,pendiente,pendiente
img_00059,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00059.jpg,A boy climbing a rock face,0.28582138,pendiente,pendiente,pendiente,pendiente
