query_caption,correct_segment,hard_negative_segment,similarity
We see two people playing foosball.,v_28GYivx4lyk_seg0,v_28GYivx4lyk_seg1,0.334854394197464
 A man in a black shirt leave the room and turns before leaving.,v_28GYivx4lyk_seg1,v_jIYRVlrXJgc_seg3,0.24389180541038513
 A man puts his face in front of the camera.,v_28GYivx4lyk_seg2,v_arTumJHoLB0_seg1,0.2931627035140991
Two men stands on front a tall hedge holding trimmers.,v_2ErgL7-MXHw_seg0,v_2ErgL7-MXHw_seg2,0.3312683403491974
 The men cuts the top of the hedge.,v_2ErgL7-MXHw_seg1,v_2ErgL7-MXHw_seg2,0.35508522391319275
 Leaves falls from the top of the hedge.,v_2ErgL7-MXHw_seg2,v_2ErgL7-MXHw_seg0,0.2673388123512268
A man in black is sitting and playing at a piano while a man in red is standing near drums.,v_3nvVkcxxaJ4_seg0,v_3nvVkcxxaJ4_seg1,0.298939049243927
" As the man in black plays, the man in red is rolling up a wire.",v_3nvVkcxxaJ4_seg1,v_4R5KDUqBPcU_seg1,0.28506773710250854
 The man in red begins bobbing his head to the beat of the piano music.,v_3nvVkcxxaJ4_seg2,v_3nvVkcxxaJ4_seg1,0.2737523019313812
 The man then places the wire down.,v_3nvVkcxxaJ4_seg3,v_2ErgL7-MXHw_seg1,0.2938742935657501
There's a man wearing a black athletic suit in a shot put field practicing shot put.,v_4R5KDUqBPcU_seg0,v_GZsplhHXQy0_seg3,0.2706683278083801
 He begins by taking the ball in his hand and holding it against his neck.,v_4R5KDUqBPcU_seg1,v_MAZlsi4Bon8_seg1,0.27810317277908325
 Then he spins around and throws the ball far ahead.,v_4R5KDUqBPcU_seg2,v_jIYRVlrXJgc_seg2,0.321745365858078
A cat is sitting in a cat bed.,v_4U13LEMIdi4_seg0,v_4U13LEMIdi4_seg1,0.3463422656059265
 It is licking its paw.,v_4U13LEMIdi4_seg1,v_4U13LEMIdi4_seg0,0.24181580543518066
 It then wipes its paw on its ear.,v_4U13LEMIdi4_seg2,v_4U13LEMIdi4_seg0,0.2343621850013733
A boy serves a tennis ball.,v_5BVcwR8hEo0_seg0,v_5BVcwR8hEo0_seg1,0.30140751600265503
 He then serves two more.,v_5BVcwR8hEo0_seg1,v_KVmuW9kwZV4_seg1,0.2781054377555847
 The boy turns and walks away.,v_5BVcwR8hEo0_seg2,v_MAZlsi4Bon8_seg2,0.2863788604736328
