video_id,caption,url
video2716,a girl getting slapped and pulled by the opponent while playing soccer,https://www.youtube.com/watch?v=4i5aOH8Ac0g
video2728,basketball players dribble and shoot the ball before falling to the ground,https://www.youtube.com/watch?v=sZnv914rcls
video2732,a baseball player hits the ball,https://www.youtube.com/watch?v=bu5BPHjqaVI
video2762,a lawn tennis video game,https://www.youtube.com/watch?v=CumXKdJuogE
video2776,a basketball player makes a shot,https://www.youtube.com/watch?v=AEKloFwkan4
video279,a backstroke swimming competition,https://www.youtube.com/watch?v=2alP2ZlmmFA
video2795,a classroom scene from a movie that shows a guy freaking out and running away,https://www.youtube.com/watch?v=0ABiaTEd3Rw
video2812,a basketball game played by the clippers is shown briefly,https://www.youtube.com/watch?v=AphM9UNdhgY
video2835,a football game with a player making a touch down,https://www.youtube.com/watch?v=3UfulU8zxjA
video2856,two beautiful girls swimming in the deep blue sea,https://www.youtube.com/watch?v=vjRZoVqqqxw
video2860,two players wearing black and white dress playing the tennis well in the tennis court,https://www.youtube.com/watch?v=W4oIrtzDIcQ
video2865,there are some people playing football in the stadium ,https://www.youtube.com/watch?v=z68xWe6cXA0
video2874,a badger is running around,https://www.youtube.com/watch?v=0eYXuTKTyVA
video2877,a basketball player shoots a layup,https://www.youtube.com/watch?v=8vvdcViBv_M
video2884,a college football game is shown,https://www.youtube.com/watch?v=36vRZG9ntgc
video2903,a lizard is running and diving into a lake while a man describes the activity,https://www.youtube.com/watch?v=yTbrDl7A5F4
video2909,a football play from several different angles,https://www.youtube.com/watch?v=bwSRV1Vr21s
video292,a commentator speaks about a football game,https://www.youtube.com/watch?v=AmAmK6HlYAY
video2926,a guy in the gym describing how to make moves in basketball,https://www.youtube.com/watch?v=WTc9OsK8dVU
video2944,a baseball clip and a football clip of the saints plays,https://www.youtube.com/watch?v=79bCw78h1pU
video2959,a football player is making a catch,https://www.youtube.com/watch?v=GfS0P-xT4cg
video2961,in the water a eight ton fish like creature is swimming,https://www.youtube.com/watch?v=yTbrDl7A5F4
video2967,a basketball player dunks the  ball,https://www.youtube.com/watch?v=3ZKs4adQB8M
video2989,a child is playing with a swimming doll,https://www.youtube.com/watch?v=A0Gq1s1drls
video2994,a basketball game is played and commentated,https://www.youtube.com/watch?v=AphM9UNdhgY
video2998,a man is holding a football,https://www.youtube.com/watch?v=8omMSbGEulg
video3018,a clip of a nfl football game,https://www.youtube.com/watch?v=itOkTGhuynk
video302,a man in a black uniform and bright orange tennis shoes kicks a soccer ball into a goal,https://www.youtube.com/watch?v=sYzs02otPZc
video3041,a basketball mascot performs a slam dunk,https://www.youtube.com/watch?v=zLRdv9oZkjM
video3049,in a basketball court players are trying to throw the ball through a hoop,https://www.youtube.com/watch?v=sZnv914rcls
video3050,a basketball player hitting a last second shot,https://www.youtube.com/watch?v=1IIDthMD09M
video3059,people practising table tennis game in a indoor stadium,https://www.youtube.com/watch?v=X2n7_QsN3dM
video3075,a man points at the concrete driveway and a man attempts a long shot to a basketball goal and misses,https://www.youtube.com/watch?v=ymoMfSDga2Q
video3115,there is man is practicing football and kick the ball to the court,https://www.youtube.com/watch?v=X_bYbJi4agw
video3120,a man in black dress is saying something about table tennis game,https://www.youtube.com/watch?v=_Zq-OHCNx7o
video3129,there is a man running on the woods,https://www.youtube.com/watch?v=SZaoC1YcGMw
video3160,a clip from a football match,https://www.youtube.com/watch?v=6fjmBo-kkWk
video3219,a basketball player and wrestler competes center stage,https://www.youtube.com/watch?v=B-6kP8M_GmM
video3226,a child wants to play volleyball with a man,https://www.youtube.com/watch?v=CYtaijpfcf4
video3228,a man in white tshirt is running way from someone,https://www.youtube.com/watch?v=z0e1IW5NlNY
video3242,a montoge of soccer games,https://www.youtube.com/watch?v=1QvPruYu0CQ
video3245,a clip of a womens basketball game,https://www.youtube.com/watch?v=-3-MHqopWS4
video3265,3 guys talking about if wiffleball or baseball is better,https://www.youtube.com/watch?v=arlWwQ_smnM
video3292,two men compete in a game of tennis by volleying balls across a net on a court,https://www.youtube.com/watch?v=uy1ULXjkM-E
video3346,a college football game being played,https://www.youtube.com/watch?v=6GzUoK8VDAE
video3353,a baseball player hits a ball,https://www.youtube.com/watch?v=H1U8WnDo_rY
