image_id,image_path,tipo_perturbacion,texto,clipscore_simplificado
video1002,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1002.jpg,original,a baseball pitcher practicing his pitches,0.31352317
video1002,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1002.jpg,negacion,no a baseball pitcher practicing his pitches,0.2923356
video1002,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1002.jpg,conteo,dos a baseball pitcher practicing his pitches,0.29716283
video1002,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1002.jpg,atributo,a baseball pitcher practicing his pitches de color rojo,0.31334957
video1002,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1002.jpg,objeto_externo,a baseball pitcher practicing his pitches con un avion visible,0.31211275
video1030,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1030.jpg,original,a man talks about football scores,0.2583431
video1030,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1030.jpg,negacion,no a man talks about football scores,0.2525397
video1030,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1030.jpg,conteo,dos a man talks about football scores,0.2716778
video1030,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1030.jpg,atributo,a man talks about football scores de color rojo,0.2694484
video1030,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1030.jpg,objeto_externo,a man talks about football scores con un avion visible,0.26445603
video1071,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1071.jpg,original,a couple of people shooting a basketball,0.2715326
video1071,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1071.jpg,negacion,no a couple of people shooting a basketball,0.24058087
video1071,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1071.jpg,conteo,dos a couple of people shooting a basketball,0.22769287
video1071,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1071.jpg,atributo,a couple of people shooting a basketball de color rojo,0.26782697
video1071,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1071.jpg,objeto_externo,a couple of people shooting a basketball con un avion visible,0.24495244
video1077,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1077.jpg,original,a commercial for a soccer video game,0.2865578
video1077,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1077.jpg,negacion,no a commercial for a soccer video game,0.28137335
video1077,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1077.jpg,conteo,dos a commercial for a soccer video game,0.27563837
video1077,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1077.jpg,atributo,a commercial for a soccer video game de color rojo,0.25474587
video1077,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1077.jpg,objeto_externo,a commercial for a soccer video game con un avion visible,0.2591325
video1211,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1211.jpg,original,a cowboy and a police officer firings guns followed by football action,0.26023257
video1211,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1211.jpg,negacion,no a cowboy and a police officer firings guns followed by football action,0.24662827
video1211,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1211.jpg,conteo,dos a cowboy and a police officer firings guns followed by football action,0.2497007
video1211,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1211.jpg,atributo,a cowboy and a police officer firings guns followed by football action de color rojo,0.24014145
video1211,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1211.jpg,objeto_externo,a cowboy and a police officer firings guns followed by football action con un avion visible,0.24765907
video1241,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1241.jpg,original,a game of soccer is being played,0.24480233
video1241,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1241.jpg,negacion,no a game of soccer is being played,0.23686923
video1241,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1241.jpg,conteo,dos a game of soccer is being played,0.19979808
video1241,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1241.jpg,atributo,a game of soccer is being played de color rojo,0.25047338
video1241,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1241.jpg,objeto_externo,a game of soccer is being played con un avion visible,0.26713473
video1247,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1247.jpg,original,a football player scores a touchdown,0.27178168
video1247,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1247.jpg,negacion,no a football player scores a touchdown,0.25261757
video1247,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1247.jpg,conteo,dos a football player scores a touchdown,0.2592572
video1247,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1247.jpg,atributo,a football player scores a touchdown de color rojo,0.26004997
video1247,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1247.jpg,objeto_externo,a football player scores a touchdown con un avion visible,0.2664458
video1249,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1249.jpg,original,a clip of a football game,0.2692915
video1249,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1249.jpg,negacion,no a clip of a football game,0.25194094
video1249,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1249.jpg,conteo,dos a clip of a football game,0.24873744
video1249,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1249.jpg,atributo,a clip of a football game de color rojo,0.25487855
video1249,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1249.jpg,objeto_externo,a clip of a football game con un avion visible,0.26208705
video1295,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1295.jpg,original,a football player makes a point for his team,0.24398151
video1295,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1295.jpg,negacion,no a football player makes a point for his team,0.22551562
video1295,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1295.jpg,conteo,dos a football player makes a point for his team,0.23440407
video1295,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1295.jpg,atributo,a football player makes a point for his team de color rojo,0.1849697
video1295,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1295.jpg,objeto_externo,a football player makes a point for his team con un avion visible,0.24258333
video1327,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1327.jpg,original,a clip of a soccer match,0.30896246
video1327,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1327.jpg,negacion,no a clip of a soccer match,0.27303004
video1327,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1327.jpg,conteo,dos a clip of a soccer match,0.27829376
video1327,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1327.jpg,atributo,a clip of a soccer match de color rojo,0.28622264
video1327,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1327.jpg,objeto_externo,a clip of a soccer match con un avion visible,0.29594338
video1329,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1329.jpg,original,a basketball assist leads to a slam dunk,0.28850523
video1329,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1329.jpg,negacion,no a basketball assist leads to a slam dunk,0.28563097
video1329,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1329.jpg,conteo,dos a basketball assist leads to a slam dunk,0.28171042
video1329,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1329.jpg,atributo,a basketball assist leads to a slam dunk de color rojo,0.27764875
video1329,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1329.jpg,objeto_externo,a basketball assist leads to a slam dunk con un avion visible,0.28544906
video1354,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1354.jpg,original,a football player is tackling another player,0.25722837
video1354,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1354.jpg,negacion,no a football player is tackling another player,0.25098252
video1354,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1354.jpg,conteo,dos a football player is tackling another player,0.2490429
video1354,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1354.jpg,atributo,a football player is tackling another player de color rojo,0.2652349
video1354,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1354.jpg,objeto_externo,a football player is tackling another player con un avion visible,0.27043626
video136,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video136.jpg,original,today were are talking about running downhill as we watch a bunch of people running,0.28415444
video136,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video136.jpg,negacion,no today were are talking about running downhill as we watch a bunch of people running,0.28199857
video136,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video136.jpg,conteo,dos today were are talking about running downhill as we watch a bunch of people running,0.27962545
video136,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video136.jpg,atributo,today were are talking about running downhill as we watch a bunch of people running de color rojo,0.2714601
video136,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video136.jpg,objeto_externo,today were are talking about running downhill as we watch a bunch of people running con un avion visible,0.25536963
video1368,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1368.jpg,original,a cartoon animal is running around,0.2600278
video1368,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1368.jpg,negacion,no a cartoon animal is running around,0.2504013
video1368,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1368.jpg,conteo,dos a cartoon animal is running around,0.24773908
video1368,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1368.jpg,atributo,a cartoon animal is running around de color rojo,0.23151122
video1368,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1368.jpg,objeto_externo,a cartoon animal is running around con un avion visible,0.23310675
video1397,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1397.jpg,original,a dog is playing in a swimming pool with another dog,0.3354179
video1397,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1397.jpg,negacion,no a dog is playing in a swimming pool with another dog,0.31510785
video1397,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1397.jpg,conteo,dos a dog is playing in a swimming pool with another dog,0.32301503
video1397,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1397.jpg,atributo,a dog is playing in a swimming pool with another dog de color rojo,0.316394
video1397,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1397.jpg,objeto_externo,a dog is playing in a swimming pool with another dog con un avion visible,0.31866044
video1408,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1408.jpg,original,a football player with a football,0.25021914
video1408,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1408.jpg,negacion,no a football player with a football,0.24508002
video1408,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1408.jpg,conteo,dos a football player with a football,0.2403942
video1408,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1408.jpg,atributo,a football player with a football de color rojo,0.26635176
video1408,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1408.jpg,objeto_externo,a football player with a football con un avion visible,0.2664731
video1480,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1480.jpg,original,a man is jumping and running while another man is watching,0.24484067
video1480,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1480.jpg,negacion,no a man is jumping and running while another man is watching,0.24117774
