image_id,image_path,caption_1,caption_2,caption_3,caption_4,caption_5,caption_generado
img_00000,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00000.jpg,A black dog is running after a white dog in the snow .,Black dog chasing brown dog through snow,Two dogs chase each other across the snowy ground .,Two dogs play together in the snow .,Two dogs running through a low lying body of water .,two dogs running in the snow near a rock
img_00001,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00001.jpg,A little baby plays croquet .,A little girl plays croquet next to a truck .,The child is playing croquette by the truck .,The kid is in front of a car with a put and a ball .,The little boy is playing with a croquet hammer and ball beside the car .,a little boy playing with a baseball bat
img_00002,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00002.jpg,A brown dog in the snow has something hot pink in its mouth .,A brown dog in the snow holding a pink hat .,A brown dog is holding a pink shirt in the snow .,A dog is carrying something pink in its mouth while walking through the snow .,A dog with something pink in its mouth is looking forward .,a dog with a pink fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr
img_00003,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00003.jpg,A brown dog is running along a beach .,A brown dog wearing a black collar running across the beach .,A dog walks on the sand near the water .,Brown dog running on the beach .,The large brown dog is running on the beach by the ocean .,a dog running on a beach
img_00004,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00004.jpg,A black and white dog with a red Frisbee standing on a sandy beach .,A dog drops a red disc on a beach .,A dog with a red Frisbee flying in the air .,Dog catching a red Frisbee .,The black dog is dropping a red disc on a beach .,a dog with a fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr
img_00005,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00005.jpg,A cyclist wearing a red helmet is riding on the pavement .,A girl is riding a bike on the street while wearing a red helmet .,"A person on a bike wearing a red helmet , riding down a street .",A woman wears a red helmet and blue shirt as she goes for a bike ride in the shade .,Person in blue shirt and red helmet riding bike down the road,a man riding a bike down a road
img_00006,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00006.jpg,A man dressed in a purple shirt and red bandanna smiles at the people watching him .,A man on the street wearing leather chaps and a chainmail codpiece .,A man wearing a purple shirt and black leather chaps poses for the camera .,Man dressed in leather chaps and purple shirt stands in front of onlookers,"There is a man in a purple shirt , leather chaps and a red bandanna , standing near other men .",a man in a purple shirt and black pants
img_00007,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00007.jpg,A boy wearing a red t-shirt is running through woodland .,A child runs near some trees .,A young boy is dancing around .,A young boy with a red short sleeved shirt and jeans runs by some trees .,The little boy in the red shirt stops to smile for the camera .,a little boy running through the woods
img_00008,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00008.jpg,A girl in a white dress .,A little girl in white is looking back at the camera while carrying a water grenade .,A smiling young girl in braids is playing ball .,A young girl wearing white looks at the camera as she plays .,The girl is holding a green ball .,a little girl in a white dress playing with a ball
img_00009,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00009.jpg,A skier in a yellow jacket is airborne above the mountains .,A skier jumps high in the air with a view of the mountains .,A skiing man in a fluorescent jacket jumps very high and it looks as though he is flying .,Somone is high in the air doing a ski jump .,The skier in the green jacket and white pants appears to almost fly into the sky .,a skier in the air
img_00010,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00010.jpg,A photographer looks over the hills .,A woman in a red jacket is videotaping a natural landscape .,A woman with a camera looks out over rolling hills .,A woman with a camera on a tripod is looking at the view .,Lady in red shirt has her camera set up in the field to record something .,a woman in red jacket looking through a telescope
img_00011,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00011.jpg,A bunch of girls in cheerleader outfits .,a large group of cheerleaders walking in a parade,Cheerleaders perform .,"many cheerleaders wearing black , walk down the street .","Parade of cheerleaders wearing black , pink and white uniforms .",the cheer team performs during the parade
img_00012,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00012.jpg,A blue boat with a yellow canopy is floating on calm waters .,A boat in the water .,A boat with a roof on green water .,The boat is in the middle of the water .,The solitude boat floats on the lake .,a boat in the water
