image_id,image_path,tipo_perturbacion,texto,clipscore_simplificado
img_00000,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00000.jpg,original,a black dog is running after a white dog in the snow,0.36326966
img_00000,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00000.jpg,negacion,no a black dog is running after a white dog in the snow,0.3399921
img_00000,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00000.jpg,conteo,dos a black dog is running after a white dog in the snow,0.3212031
img_00000,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00000.jpg,atributo,a black dog is running after a white dog in the snow de color rojo,0.36385491
img_00000,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00000.jpg,objeto_externo,a black dog is running after a white dog in the snow con un avion visible,0.3587413
img_00001,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00001.jpg,original,a little baby plays croquet,0.314081
img_00001,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00001.jpg,negacion,no a little baby plays croquet,0.29009572
img_00001,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00001.jpg,conteo,dos a little baby plays croquet,0.3125991
img_00001,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00001.jpg,atributo,a little baby plays croquet de color rojo,0.29554683
img_00001,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00001.jpg,objeto_externo,a little baby plays croquet con un avion visible,0.3009405
img_00002,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00002.jpg,original,a brown dog in the snow has something hot pink in its mouth,0.343611
img_00002,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00002.jpg,negacion,no a brown dog in the snow has something hot pink in its mouth,0.3260002
img_00002,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00002.jpg,conteo,dos a brown dog in the snow has something hot pink in its mouth,0.30560607
img_00002,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00002.jpg,atributo,a brown dog in the snow has something hot pink in its mouth de color rojo,0.34621784
img_00002,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00002.jpg,objeto_externo,a brown dog in the snow has something hot pink in its mouth con un avion visible,0.33065134
img_00003,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00003.jpg,original,a brown dog is running along a beach,0.33727852
img_00003,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00003.jpg,negacion,no a brown dog is running along a beach,0.31261292
img_00003,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00003.jpg,conteo,dos a brown dog is running along a beach,0.30347717
img_00003,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00003.jpg,atributo,a brown dog is running along a beach de color rojo,0.3351582
img_00003,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00003.jpg,objeto_externo,a brown dog is running along a beach con un avion visible,0.32601956
img_00004,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00004.jpg,original,a black and white dog with a red frisbee standing on a sandy beach,0.38370985
img_00004,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00004.jpg,negacion,no a black and white dog with a red frisbee standing on a sandy beach,0.38300347
img_00004,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00004.jpg,conteo,dos a black and white dog with a red frisbee standing on a sandy beach,0.37669483
img_00004,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00004.jpg,atributo,a black and white dog with a red frisbee standing on a sandy beach de color rojo,0.38089713
