image_id,image_path,caption,clipscore_simplificado
img_00008,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00008.jpg,A girl in a white dress .,0.21802816
img_00068,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00068.jpg,The men are climbing .,0.24157627
img_00046,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00046.jpg,A man in the dooorway of a bus looking onward .,0.25310516
img_00065,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00065.jpg,An attractive woman holds a halo above her head .,0.2535588
img_00153,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00153.jpg,A person in an airplane .,0.25451297
img_00123,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00123.jpg,A bicycle rider flies over a hill while a competitor is not far behind .,0.25546083
img_00027,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00027.jpg,A group of people in front of a house .,0.25627676
img_00030,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00030.jpg,A group of mountain climbers,0.2584157
img_00159,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00159.jpg,There is a college player being tackled in a game .,0.26182345
img_00089,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00089.jpg,A man and woman walk away from the camera as a redheaded man walks in the other direction .,0.2621941
img_00036,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00036.jpg,A car sponsored by Riwal is smoking its tires on a wet road .,0.26544636
img_00132,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00132.jpg,A bunch on people are seated in a stadium .,0.26766554
img_00075,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00075.jpg,A man is playing with a fire baton in the day light .,0.26894847
img_00039,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00039.jpg,A man in sunglasses gets ready to pull a chair out to sit down for his meal .,0.27190566
img_00122,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00122.jpg,A guy tries to climb a stone cliff while his friend helps him .,0.27678016
img_00147,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00147.jpg,A kid doing a trick on a skateboard .,0.27909833
img_00131,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00131.jpg,A dog in a snowy area .,0.2792693
img_00087,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00087.jpg,A driver is at the wheel of a race car .,0.28140795
img_00100,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00100.jpg,A group of climbers begin up a sheer rock face .,0.28160006
img_00124,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00124.jpg,A crowd is standing and cheering at a football game .,0.28254396
img_00105,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00105.jpg,A child is sliding into a small pool .,0.2827925
img_00016,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00016.jpg,"A family of nine people , including four children , pose in front of a brick fireplace with a white mantle .",0.2830395
img_00010,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00010.jpg,A photographer looks over the hills .,0.28350708
img_00141,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00141.jpg,The dogs are behind the fence .,0.28405616
img_00143,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00143.jpg,A boy and girl in swimwear and arm floaters,0.2845116
img_00023,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00023.jpg,A baseball pitcher with Shelton on his shirt throws the ball .,0.28536272
img_00058,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00058.jpg,A man is skiing down a mountain with another large mountain behind him and a river between the mountains .,0.28573775
img_00059,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00059.jpg,A boy climbing a rock face,0.28582138
img_00020,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00020.jpg,"a boy in a red shirt , in front of a long blue wall , raises his eyebrow at the camera",0.28692472
img_00130,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00130.jpg,A bunch of children sitting in chairs and standing on wooden floors .,0.28709906
img_00157,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00157.jpg,Four boys are in the living room talking .,0.28737292
img_00050,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00050.jpg,A climber walks along a snowy peak .,0.28846425
img_00106,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00106.jpg,A lone snowboarder wearing a white jacket jumping into the air on the snowy mountains .,0.28885442
img_00057,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00057.jpg,A woman taking a photo standing next to a tall man and in front of another man who is also taking a photo .,0.28914076
img_00069,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00069.jpg,A skateboarder jumps off his skateboard in midair in hopes of landing back on it .,0.28934926
img_00126,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00126.jpg,a lone skier jumping on the side of a snowy mountain .,0.29009277
img_00117,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00117.jpg,A grey bird stands majestically on a beach while waves roll in .,0.2909648
img_00140,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00140.jpg,A woman holding a baby and making faces at it .,0.2913204
img_00082,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00082.jpg,There are two women crossing the street in front of two buses .,0.29135484
img_00034,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00034.jpg,A group of people stand at the edge of a cliff over the ocean .,0.29145393
img_00011,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00011.jpg,A bunch of girls in cheerleader outfits .,0.29182565
img_00077,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00077.jpg,A guy with a scarf and woven toboggan .,0.29182905
img_00116,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00116.jpg,a man wears a red bandanna,0.2941962
img_00017,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00017.jpg,Man in a sweater pointing at the camera .,0.2945712
img_00128,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00128.jpg,a black dog has caught a bird in its mouth .,0.29617414
img_00081,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00081.jpg,A man rides a bike on a dirt path .,0.2967942
img_00038,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00038.jpg,A crowd of people waving red flags are passing under a bridge .,0.29736334
img_00015,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00015.jpg,A blond girl wearing a green jacket walks on a trail along side a metal fence .,0.29808438
img_00102,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00102.jpg,"two girls hold up a card reading "" know what this is "" ?",0.29838932
img_00076,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00076.jpg,A brown dog playing with bubbles .,0.298524
img_00138,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00138.jpg,A brown a dog and a black dog in the edge of the ocean with a wave under them boats are on the water in the background .,0.29897568
img_00084,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00084.jpg,A skateboarder is jumping almost as high as a building .,0.29965138
img_00101,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00101.jpg,A child sits in a plastic toy car .,0.3014353
img_00080,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00080.jpg,A group of people surf on a very large wave .,0.30200055
img_00115,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00115.jpg,a boy carries a teenager on his back .,0.30305535
img_00120,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00120.jpg,A boy takes a jump on his skateboard while another boy with a skateboard watches .,0.30320755
img_00013,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00013.jpg,A dog catches a Frisbee in midair .,0.30372342
img_00145,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00145.jpg,Lacrosse players struggling for control of the ball .,0.30375904
img_00052,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00052.jpg,A black race car spins its tires while smoke comes out .,0.30447137
img_00107,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00107.jpg,A boy being pulled on a shovel .,0.30481243
img_00158,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00158.jpg,A mother sits with three children as they eat ice cream .,0.3048956
img_00019,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00019.jpg,three children in a field with white flowers,0.30502474
img_00018,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00018.jpg,A dog looks warily at the brown dog investigating his area .,0.30508605
img_00085,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00085.jpg,A man in a red soccer uniform getting ready to kick the ball .,0.3051815
img_00012,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00012.jpg,A blue boat with a yellow canopy is floating on calm waters .,0.30525407
img_00155,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00155.jpg,A man and two women are inside a greenhouse holding gardening tools .,0.3053742
img_00001,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00001.jpg,A little baby plays croquet .,0.30596283
img_00014,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00014.jpg,A little old lady sitting next to an advertisement .,0.30601
img_00111,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00111.jpg,A man dressed in a green jacket is playing piano while a woman sings .,0.30648413
img_00103,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00103.jpg,"A dog runs holding a yellow dog toy in fall , bench in the background .",0.3082693
img_00093,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00093.jpg,A little girl dances in a room with balloons on the floor .,0.30883077
img_00104,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00104.jpg,a blond girl in a pink bathing suit running through the sprinklers,0.30931467
img_00074,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00074.jpg,A boy jumps from the top of a blue plastic slide .,0.30964392
img_00060,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00060.jpg,A brown dog is standing in a lake .,0.30983678
img_00033,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00033.jpg,A dog races while wearing number 6 .,0.31025928
img_00125,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00125.jpg,An athlete performs the high jump .,0.31066376
img_00110,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00110.jpg,a little girl ends up at the bottom of the slide .,0.31084827
img_00045,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00045.jpg,a brown dog is jumping up at a woman who is wearing a brown skirt .,0.31117335
img_00040,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00040.jpg,A boy holding a racket is standing in the grass .,0.31185922
img_00044,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00044.jpg,A child spins on a merry-go-round .,0.31200385
img_00083,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00083.jpg,A group of people walk down a city street at night .,0.3121168
img_00078,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00078.jpg,A boy sitting down smiling for the picture .,0.31288883
img_00041,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00041.jpg,Two blond girls are playing together .,0.31342864
img_00118,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00118.jpg,A boy hanging onto a pole .,0.31388855
