image_id,caption_generado,bleu_simple,rouge_l,cobertura_lexica
img_00000,two dogs running in the snow near a rock,0.3908730158730158,0.6250000000000001,0.25
img_00001,a little boy playing with a baseball bat,0.37202380952380953,0.45454545454545453,0.18518518518518517
img_00002,a dog with a pink fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr,0.07158938172043011,0.19047619047619047,0.17391304347826086
img_00003,a dog running on a beach,0.5125,0.7142857142857143,0.25
img_00004,a dog with a fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr fr,0.08073090470893586,0.19047619047619047,0.14285714285714285
img_00005,a man riding a bike down a road,0.40327380952380953,0.4761904761904762,0.1724137931034483
img_00006,a man in a purple shirt and black pants,0.8635912698412699,0.6086956521739131,0.19444444444444445
img_00007,a little boy running through the woods,0.2976190476190476,0.4444444444444444,0.1875
img_00008,a little girl in a white dress playing with a ball,0.6099116161616162,0.7058823529411764,0.2857142857142857
img_00009,a skier in the air,0.75,0.5555555555555556,0.125
img_00010,a woman in red jacket looking through a telescope,0.3551587301587301,0.6,0.18181818181818182
img_00011,the cheer team performs during the parade,0.10714285714285714,0.13333333333333333,0.08333333333333333
img_00012,a boat in the water,1.0,1.0,0.23809523809523808
img_00013,a dog jumping in the air,0.42083333333333334,0.5333333333333333,0.23809523809523808
img_00014,a girl sitting in the train station,0.21428571428571427,0.42857142857142855,0.2
img_00015,a woman walking down a path in a field,0.2569444444444444,0.39999999999999997,0.14285714285714285
img_00016,a family sitting on a couch in front of a christmas tree,0.3789141414141414,0.6086956521739131,0.2413793103448276
img_00017,a man pointing at a woman,0.25833333333333336,0.42857142857142855,0.10526315789473684
img_00018,two dogs playing in the grass,0.125,0.21052631578947367,0.11538461538461539
img_00019,three children are in a garden with flowers,0.36755952380952384,0.75,0.3181818181818182
img_00020,a young boy walking down the sidewalk,0.10714285714285714,0.26666666666666666,0.08333333333333333
img_00021,a dog running on the beach with a stick in its mouth,0.6906565656565657,0.6896551724137931,0.3235294117647059
img_00022,a dog running on a track with a person in the background,0.19128787878787878,0.2105263157894737,0.22727272727272727
img_00023,a baseball player throwing a ball on a field,0.2926587301587301,0.3846153846153846,0.16666666666666666
img_00024,a dog is wadi in the water,0.4309523809523809,0.631578947368421,0.1935483870967742
img_00025,a group of people walking down a street,0.42797619047619045,0.4761904761904762,0.15625
img_00026,a young man in a store holding a book,0.5768849206349206,0.5217391304347826,0.1388888888888889
img_00027,a group of people sitting on a bench,0.39672619047619045,0.5882352941176471,0.10810810810810811
img_00028,two women standing in front of a glass case,0.5099206349206349,0.3846153846153846,0.21212121212121213
img_00029,a snowboarder in mid air,0.2625,0.37499999999999994,0.16
img_00030,a group of people walking up a snow covered mountain,0.588095238095238,0.6666666666666666,0.34782608695652173
img_00031,a dog jumping through a hoop on a course,0.5099206349206349,0.6666666666666667,0.4166666666666667
img_00032,a group of people sitting outside a building,0.561904761904762,0.631578947368421,0.20588235294117646
img_00033,a greyhound racing at night,0.1625,0.3076923076923077,0.06896551724137931
img_00034,two people standing on a cliff overlooking the ocean,0.6741071428571428,0.6,0.2903225806451613
img_00035,a man and woman walking down a path in the woods,0.4277777777777778,0.4999999999999999,0.2702702702702703
img_00036,a car driving on a wet track during the race,0.45763888888888893,0.5454545454545454,0.27586206896551724
img_00037,a man riding a bike down a street,0.35714285714285715,0.5217391304347827,0.16666666666666666
img_00038,a crowd of people walking down a street,0.95,0.6363636363636364,0.21212121212121213
img_00039,a man in a white shirt,0.32916666666666666,0.3529411764705882,0.1
img_00040,a young boy playing with a toy in the backyard,0.43432539682539684,0.6,0.24242424242424243
img_00041,two little girls playing on a black surface,0.41369047619047616,0.75,0.2608695652173913
img_00042,a group of people riding bikes on a dirt road,0.26458333333333334,0.28571428571428564,0.15151515151515152
img_00043,a dog running on a dirt road,0.22023809523809523,0.5714285714285714,0.25
img_00044,a group of people sitting on a carousel,0.1607142857142857,0.375,0.08823529411764706
img_00045,a woman standing next to a dog on a porch,0.17777777777777776,0.33333333333333326,0.11428571428571428
img_00046,a man and a woman sitting on a bus,0.2881944444444444,0.4210526315789474,0.15625
img_00047,a little girl climbing up a tree in the woods,0.32361111111111107,0.5263157894736842,0.23809523809523808
img_00048,a group of young people,1.0,0.5882352941176471,0.1724137931034483
img_00049,a dog jumping over a bed in a bedroom,0.4186507936507936,0.5555555555555556,0.2608695652173913
img_00050,the sun shining over the ocean and mountains,0.03125,0.11111111111111112,0.03333333333333333
img_00051,two dogs running in the grass,0.7083333333333334,0.5555555555555556,0.2
img_00052,a red bull racing car with smoke coming out of it,0.20681818181818182,0.4,0.24242424242424243
img_00053,a snowboarder is in the snow,0.21666666666666667,0.37499999999999994,0.10526315789473684
img_00054,a dog standing in the water with a stick,0.1423611111111111,0.4,0.14285714285714285
img_00055,a man in a hat is walking down the street,0.5630952380952381,0.608695652173913,0.22580645161290322
img_00056,a man walking a dog on the beach,0.7309523809523809,0.888888888888889,0.28
img_00057,two people are standing on a path with their cameras,0.5801587301587302,0.47058823529411764,0.24324324324324326
img_00058,a person on a snowboard on a snowy slope,0.2013888888888889,0.5,0.10714285714285714
img_00059,a man climbing up a rock in the woods,0.3551587301587301,0.5333333333333333,0.24
img_00060,a dog swimming in a river,0.7625,0.8333333333333334,0.2857142857142857
img_00061,a dog playing with a tennis ball in the grass,0.5211309523809524,0.7368421052631577,0.26666666666666666
img_00062,a man sitting on a bench in the park,0.4880952380952381,0.5714285714285715,0.3333333333333333
img_00063,a man sitting on the grass,0.575,0.7499999999999999,0.2727272727272727
img_00064,two dogs playing in the snow with a ball,0.5446428571428571,0.6666666666666666,0.42857142857142855
img_00065,a woman in a hat and dress is dancing,0.4012896825396825,0.5,0.17647058823529413
img_00066,a man reading a book in the park,0.2693452380952381,0.47058823529411764,0.14285714285714285
img_00067,a man riding a motorcycle on a beach,0.32589285714285715,0.5882352941176471,0.1
img_00068,a man is hanging on a rope,0.14285714285714285,0.26666666666666666,0.13043478260869565
img_00069,a skateboarder does a trick at the skate park,0.2013888888888889,0.35294117647058826,0.13333333333333333
img_00070,a man holding a sign in the street,0.43452380952380953,0.5333333333333333,0.20588235294117646
