image_id,image_path,caption,clipscore_simplificado
video4177,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4177.jpg,a basketball game is occurring,0.1872271
video4087,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4087.jpg,a basketball player celebrates winning an award,0.18780987
video3525,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3525.jpg,a dog is running on a field,0.19282442
video2967,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2967.jpg,a basketball player dunks the  ball,0.19463058
video3373,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3373.jpg,a football players are running,0.19466266
video3872,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3872.jpg,two men compete in a game of table tennis by vigorously volleying the ping pong ball over the net,0.2035145
video1954,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1954.jpg,a blocky video game character is running towards a flight of stairs while dodging arrows and firing back at his assailant before finally reaching the stairs and walking up them victoriously,0.204099
video2553,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2553.jpg,there is a animated character playing tennis  very slowly,0.20712288
video3242,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3242.jpg,a montoge of soccer games,0.21405447
video3541,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3541.jpg,three basketball players in orange shirts perform fantastic moves,0.2166304
video4167,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4167.jpg,a group of mermaids are a swimming in the ocean with other water creatures,0.2224009
video2120,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2120.jpg,a golfer drives a ball,0.22396293
video1913,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1913.jpg,a football player dances with his team-mates,0.22641587
video3346,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3346.jpg,a college football game being played,0.22661269
video3228,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3228.jpg,a man in white tshirt is running way from someone,0.227422
video1940,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1940.jpg,a baseball player is sliding into second base,0.22780196
video4091,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4091.jpg,a star on the abc network enjoys jet-skiing on a lake,0.22856197
video3265,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3265.jpg,3 guys talking about if wiffleball or baseball is better,0.23138033
video4201,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4201.jpg,a basketball player lands a shot from half court,0.2321071
video3764,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3764.jpg,a basketball player dunking,0.23423588
video3597,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3597.jpg,a basketball game is played,0.23550317
video2664,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2664.jpg,a tshirt man is playing table tennis,0.23716307
video3644,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3644.jpg,there are many people enjoy swimming in water,0.23719195
video3773,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3773.jpg,a football game is being played on full snow covered field,0.23828655
video2944,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2944.jpg,a baseball clip and a football clip of the saints plays,0.2388294
video347,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video347.jpg,a man is skiing down a mountain and views from the mountain are shown,0.23937577
video4198,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4198.jpg,a young africa-american man speaks of his time playing basketball and his father s incredulity as to his son s career choice,0.23942804
video4071,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4071.jpg,there is a man running in to the grass,0.24069646
video1734,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1734.jpg,a football match is going on,0.24094683
video2434,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2434.jpg,a commentator is talking about a soccer game,0.24172206
video1295,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1295.jpg,a football player makes a point for his team,0.24398153
video1241,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1241.jpg,a game of soccer is being played,0.24480233
video1480,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1480.jpg,a man is jumping and running while another man is watching,0.2448407
video2909,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2909.jpg,a football play from several different angles,0.24516642
video2835,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2835.jpg,a football game with a player making a touch down,0.24523723
video2311,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2311.jpg,a basketball player performs a slam dunk,0.24546814
video2580,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2580.jpg,a clip of a man entering a boxing ring,0.24557142
video3545,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3545.jpg,a musical video showing a girl with a light blue cap and a person running in the back,0.2459856
video3894,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3894.jpg,a compilation of football highlights,0.24619317
video3634,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3634.jpg,a discussion of an old football game,0.24636683
video2282,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2282.jpg,a gamer plays a soccer video game,0.24878705
video1997,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1997.jpg,a man is water skiing behind a boat,0.24961853
