video_id,caption,url
video1002,a baseball pitcher practicing his pitches,https://www.youtube.com/watch?v=CbFzZ_b_YNU
video1014,a game of golf,https://www.youtube.com/watch?v=vBDes__wYTo
video1030,a man talks about football scores,https://www.youtube.com/watch?v=-ynjs7Rm-2o
video1071,a couple of people shooting a basketball,https://www.youtube.com/watch?v=3r4mkH-kz-k
video1077,a commercial for a soccer video game,https://www.youtube.com/watch?v=98rr5STFMow
video1141,a animated horse is jumping and running fast,https://www.youtube.com/watch?v=qKU8NHBIGX0
video1157,a clip of manchester soccer,https://www.youtube.com/watch?v=2jEhvqgTacQ
video1211,a cowboy and a police officer firings guns followed by football action,https://www.youtube.com/watch?v=Al1p_xuPKpM
video1241,a game of soccer is being played,https://www.youtube.com/watch?v=bzqy_viVJss
video1247,a football player scores a touchdown,https://www.youtube.com/watch?v=bwSRV1Vr21s
video1249,a clip of a football game,https://www.youtube.com/watch?v=FNe7u2E62IQ
video1295,a football player makes a point for his team,https://www.youtube.com/watch?v=bwSRV1Vr21s
video1327,a clip of a soccer match,https://www.youtube.com/watch?v=a03PND1Vyvo
video1328,a man talks about how to serve the ball in the game of tennis,https://www.youtube.com/watch?v=T4A5xX_vn1I
video1329,a basketball assist leads to a slam-dunk,https://www.youtube.com/watch?v=GfPep7IhZIU
video1334,a basketball game is being played followed by two men playing for fun,https://www.youtube.com/watch?v=qyVbGEhkVMU
video1342,a football highlight reel,https://www.youtube.com/watch?v=-uAPOId4jWI
video135,a girl is swimming and an old lady starts talking to her,https://www.youtube.com/watch?v=4vIjIqPPUSU
video1354,a football player is tackling another player,https://www.youtube.com/watch?v=tN5eTHuk9BY
video136,today were are talking about running downhill as we watch a bunch of people running,https://www.youtube.com/watch?v=yqN3XwhkLH4
video1368,a cartoon animal is running around,https://www.youtube.com/watch?v=B_Z7oFNv_Vw
video1379,a baseball player hits a ball,https://www.youtube.com/watch?v=WNJ7nbhd_eU
video1381,a man kicks a soccer goal and then celebrates,https://www.youtube.com/watch?v=cmLMRuD7Mlc
video1397,a dog is playing in a swimming pool with another dog,https://www.youtube.com/watch?v=Bh44DyW1KEc
video1408,a football player with a football,https://www.youtube.com/watch?v=tN5eTHuk9BY
video1447,3d african animals running,https://www.youtube.com/watch?v=KEDLj-c5zZg
video1480,a man is jumping and running while another man is watching,https://www.youtube.com/watch?v=xIAq1OdWQM0
video1522,a guy shoots a basketball from midcourt and some players laugh,https://www.youtube.com/watch?v=X55X7CCAzm8
video1536,two extremely talented athletes are vying for the win in a table tennis match,https://www.youtube.com/watch?v=TdEBIXpeDHQ
video1542,a british soccer coach leading his team into practice,https://www.youtube.com/watch?v=C5Rcrp7qBWo
video1543,a man in green t-shirt is practising his table tennis skills,https://www.youtube.com/watch?v=ZPiI7VFsD1k
