image_id,image_path,caption,clipscore_simplificado,categoria_error,severidad_1_a_5,evidencia_visual,comentario_tecnico
video4177,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4177.jpg,a basketball game is occurring,0.1872271,pendiente,pendiente,pendiente,pendiente
video4087,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4087.jpg,a basketball player celebrates winning an award,0.18780987,pendiente,pendiente,pendiente,pendiente
video3525,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3525.jpg,a dog is running on a field,0.19282442,pendiente,pendiente,pendiente,pendiente
video2967,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2967.jpg,a basketball player dunks the  ball,0.19463058,pendiente,pendiente,pendiente,pendiente
video3373,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3373.jpg,a football players are running,0.19466266,pendiente,pendiente,pendiente,pendiente
video3872,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3872.jpg,two men compete in a game of table tennis by vigorously volleying the ping pong ball over the net,0.2035145,pendiente,pendiente,pendiente,pendiente
video1954,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1954.jpg,a blocky video game character is running towards a flight of stairs while dodging arrows and firing back at his assailant before finally reaching the stairs and walking up them victoriously,0.204099,pendiente,pendiente,pendiente,pendiente
video2553,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2553.jpg,there is a animated character playing tennis  very slowly,0.20712288,pendiente,pendiente,pendiente,pendiente
video3242,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3242.jpg,a montoge of soccer games,0.21405447,pendiente,pendiente,pendiente,pendiente
video3541,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3541.jpg,three basketball players in orange shirts perform fantastic moves,0.2166304,pendiente,pendiente,pendiente,pendiente
video4167,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4167.jpg,a group of mermaids are a swimming in the ocean with other water creatures,0.2224009,pendiente,pendiente,pendiente,pendiente
video2120,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2120.jpg,a golfer drives a ball,0.22396293,pendiente,pendiente,pendiente,pendiente
video1913,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1913.jpg,a football player dances with his team-mates,0.22641587,pendiente,pendiente,pendiente,pendiente
video3346,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3346.jpg,a college football game being played,0.22661269,pendiente,pendiente,pendiente,pendiente
video3228,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3228.jpg,a man in white tshirt is running way from someone,0.227422,pendiente,pendiente,pendiente,pendiente
video1940,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1940.jpg,a baseball player is sliding into second base,0.22780196,pendiente,pendiente,pendiente,pendiente
video4091,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4091.jpg,a star on the abc network enjoys jet-skiing on a lake,0.22856197,pendiente,pendiente,pendiente,pendiente
video3265,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3265.jpg,3 guys talking about if wiffleball or baseball is better,0.23138033,pendiente,pendiente,pendiente,pendiente
video4201,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4201.jpg,a basketball player lands a shot from half court,0.2321071,pendiente,pendiente,pendiente,pendiente
video3764,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3764.jpg,a basketball player dunking,0.23423588,pendiente,pendiente,pendiente,pendiente
video4071,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video4071.jpg,there is a man running in to the grass,0.24069646,pendiente,pendiente,pendiente,pendiente
video2314,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2314.jpg,there is a tiger running towards the water,0.26592788,pendiente,pendiente,pendiente,pendiente
video1368,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1368.jpg,a cartoon animal is running around,0.26002792,pendiente,pendiente,pendiente,pendiente
video2379,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2379.jpg,two people playing table tennis game in front of the audience,0.31434545,pendiente,pendiente,pendiente,pendiente
video2445,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2445.jpg,a man catches footballs while navigating abound small pools of water,0.2611861,pendiente,pendiente,pendiente,pendiente
video1002,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1002.jpg,a baseball pitcher practicing his pitches,0.3135233,pendiente,pendiente,pendiente,pendiente
video1211,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1211.jpg,a cowboy and a police officer firings guns followed by football action,0.2602325,pendiente,pendiente,pendiente,pendiente
video3540,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3540.jpg,a football player is making a goal into the goal post,0.25702316,pendiente,pendiente,pendiente,pendiente
video3826,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video3826.jpg,football teams throw the ball and run down the field before diving off the sideline,0.29362673,pendiente,pendiente,pendiente,pendiente
video2685,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2685.jpg,a compilation of a few different soccer games,0.2874659,pendiente,pendiente,pendiente,pendiente
video1967,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1967.jpg,a man with spiky hair talks with a news reporter about golf,0.29446518,pendiente,pendiente,pendiente,pendiente
video2877,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video2877.jpg,a basketball player shoots a layup,0.2799959,pendiente,pendiente,pendiente,pendiente
video1329,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1329.jpg,a basketball assist leads to a slam-dunk,0.29292002,pendiente,pendiente,pendiente,pendiente
