video_id,image_path,video_path,caption_1,caption_generado
video1002,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1002.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1002.mp4,a baseball pitcher practicing his pitches,a baseball player pitching a ball on a field
video1030,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1030.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1030.mp4,a man talks about football scores,two men in suits sitting on a tv set
video1071,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1071.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1071.mp4,a couple of people shooting a basketball,a group of men playing basketball on a court
video1077,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1077.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1077.mp4,a commercial for a soccer video game,a soccer game is shown in the screen
video1211,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1211.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1211.mp4,a cowboy and a police officer firings guns followed by football action,a soccer field with a goal and a goal post
video1241,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1241.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1241.mp4,a game of soccer is being played,a soccer game is being played in a stadium
video1247,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1247.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1247.mp4,a football player scores a touchdown,a football game is being played on the field
video1249,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1249.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1249.mp4,a clip of a football game,a football player is running for the ball
video1295,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1295.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1295.mp4,a football player makes a point for his team,a football game is being played on the field
video1327,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1327.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1327.mp4,a clip of a soccer match,a soccer game with a player in the middle of the field
video1329,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1329.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1329.mp4,a basketball assist leads to a slam-dunk,a basketball player is trying to block the ball
video1354,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1354.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1354.mp4,a football player is tackling another player,a football player is about to throw the ball
video136,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video136.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video136.mp4,today were are talking about running downhill as we watch a bunch of people running,a group of people are walking down a hill
video1368,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1368.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1368.mp4,a cartoon animal is running around,a screenshot of a game with a bird flying over it
video1397,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1397.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1397.mp4,a dog is playing in a swimming pool with another dog,a woman in a pool with a dog
video1408,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1408.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1408.mp4,a football player with a football,a football player is about to throw the ball
video1480,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1480.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1480.mp4,a man is jumping and running while another man is watching,a man is standing on a track with his arms up
video1536,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1536.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1536.mp4,two extremely talented athletes are vying for the win in a table tennis match,a man in red shirt standing on a court
video1543,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1543.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1543.mp4,a man in green t-shirt is practising his table tennis skills,a man in green shirt playing ping po
video157,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video157.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video157.mp4,a compilation of fight videos dance video and basketball footage with a rap music in the background,a basketball player is about to shoot the ball
video158,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video158.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video158.mp4,a football player is being interviewed on the field,a man in a football uniform holding a microphone
video1585,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1585.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1585.mp4,a crowd cheering while watching a football game,a football game is being played on the field
video1608,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1608.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1608.mp4,there is going on a table tennis game between two people one is in yellow and the other is in red dressing,table tennis players playing a game of ping
video1623,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1623.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1623.mp4,a basketball game being played,a man in a red jersey is standing on the court
video1652,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1652.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1652.mp4,a basketball player shooting a jump shot and then celebrating afterwords,a group of men playing basketball on a court
video1667,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1667.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1667.mp4,a basketball player does a slam dunk,a man jumping in the air with a basketball ball
video1734,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1734.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1734.mp4,a football match is going on,a soccer game with a goal and a ball
video179,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video179.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video179.mp4,a girl in a soccer uniform confronts a guy on a soccer field,a woman in a red jersey is standing in front of a group of people
video1913,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1913.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1913.mp4,a football player dances with his team-mates,a football player is running with the ball
video1930,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1930.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1930.mp4,a baseball player hits a ball and it is out at first base,a baseball player is throwing a ball at the plate
video1940,/workspace/Exposicion2/notebook_MSR_VTT/data/raw/video1940.jpg,/workspace/Exposicion2/notebook_MSR_VTT/data/msr-vtt/videos/video1940.mp4,a baseball player is sliding into second base,a tv screen with a football game on it
