video_id,youtube_id,video_file,segment_id,start,end,caption
v_bQ3yPbCICRg,bQ3yPbCICRg,bQ3yPbCICRg.mp4,0,0.0,2.31,A man is seen bending over a bang in the middle of drummers.
v_bQ3yPbCICRg,bQ3yPbCICRg,bQ3yPbCICRg.mp4,1,2.2,8.13, The people hit the drums continuously while the camera pans around.
v_bQ3yPbCICRg,bQ3yPbCICRg,bQ3yPbCICRg.mp4,2,7.77,10.18, The men drum while the camera pans around them.
v_4R5KDUqBPcU,4R5KDUqBPcU,4R5KDUqBPcU.mp4,0,1.95,5.79,There's a man wearing a black athletic suit in a shot put field practicing shot put.
v_4R5KDUqBPcU,4R5KDUqBPcU,4R5KDUqBPcU.mp4,1,5.79,8.81, He begins by taking the ball in his hand and holding it against his neck.
v_4R5KDUqBPcU,4R5KDUqBPcU,4R5KDUqBPcU.mp4,2,8.81,9.68, Then he spins around and throws the ball far ahead.
v_6KG4p_pfMQc,6KG4p_pfMQc,6KG4p_pfMQc.mp4,0,0.0,12.26,man wearing a red shirt is standing in a large green field behind kids.
v_6KG4p_pfMQc,6KG4p_pfMQc,6KG4p_pfMQc.mp4,1,3.31,8.71, little blonde kid throw a ball and a kid kicks the ball in the field.
v_6KG4p_pfMQc,6KG4p_pfMQc,6KG4p_pfMQc.mp4,2,8.71,12.26, kisd are running in the field to catch th ball.
v_uwGcEaW3z3Q,uwGcEaW3z3Q,uwGcEaW3z3Q.mp4,0,0.0,1.82,A man is trying to lift weights in a gym.
v_uwGcEaW3z3Q,uwGcEaW3z3Q,uwGcEaW3z3Q.mp4,1,2.55,8.86, He lifts the barbell up to his chest.
v_uwGcEaW3z3Q,uwGcEaW3z3Q,uwGcEaW3z3Q.mp4,2,9.37,11.36, He then lifts it over his head before dropping it to the ground.
v_sVk-Br0zfkA,sVk-Br0zfkA,sVk-Br0zfkA.mp4,0,0.15,2.66,A close up of a woman is seen looking off into the distance and holding a dart.
v_sVk-Br0zfkA,sVk-Br0zfkA,sVk-Br0zfkA.mp4,1,2.21,7.84, She throws the dart onto the board which is show up close.
v_sVk-Br0zfkA,sVk-Br0zfkA,sVk-Br0zfkA.mp4,2,7.39,9.65, The woman then clenches her fists and her throw is shown again.
v_9uZoTZsTwv0,9uZoTZsTwv0,9uZoTZsTwv0.mp4,0,0.0,1.65,A teenage boy on a horse spinning a rope in the air chases after a little cow.
v_9uZoTZsTwv0,9uZoTZsTwv0,9uZoTZsTwv0.mp4,1,1.6,3.71, The cow is running and the boy throws the rope around its neck.
v_9uZoTZsTwv0,9uZoTZsTwv0,9uZoTZsTwv0.mp4,2,3.76,7.41, It causes the cow to fall over after being pulled back by the rope.
v_9uZoTZsTwv0,9uZoTZsTwv0,9uZoTZsTwv0.mp4,3,7.41,11.4, The boy goes running off the horse after it and pins the little cow down.
v_GZsplhHXQy0,GZsplhHXQy0,GZsplhHXQy0.mp4,0,0.06,10.92,A man performs a kettle throw in front of an outdoor stadium filled with spectators in the audience.
v_GZsplhHXQy0,GZsplhHXQy0,GZsplhHXQy0.mp4,1,0.66,5.85,  A man on a round dirt area on a field swings a ball around and around while standing in place.
v_GZsplhHXQy0,GZsplhHXQy0,GZsplhHXQy0.mp4,2,6.4,8.05,"  The man lets the ball go, where it flies in the air ahead of him."
v_GZsplhHXQy0,GZsplhHXQy0,GZsplhHXQy0.mp4,3,8.6,10.81,  The man stops and bends with his knees as he watches the ball fly in the air.
v_28GYivx4lyk,28GYivx4lyk,28GYivx4lyk.mp4,0,0.0,11.05,We see two people playing foosball.
v_28GYivx4lyk,28GYivx4lyk,28GYivx4lyk.mp4,1,0.0,3.59, A man in a black shirt leave the room and turns before leaving.
v_28GYivx4lyk,28GYivx4lyk,28GYivx4lyk.mp4,2,9.34,11.05, A man puts his face in front of the camera.
v_W0RYvQUUNe0,W0RYvQUUNe0,W0RYvQUUNe0.mp4,0,0.0,11.58,The person is parasailing the water.
v_W0RYvQUUNe0,W0RYvQUUNe0,W0RYvQUUNe0.mp4,1,1.27,3.42," As the person sail, he started to bounce on the water."
v_W0RYvQUUNe0,W0RYvQUUNe0,W0RYvQUUNe0.mp4,2,2.95,11.58, The person maneuver the sail to turn around.
