query_caption,correct_segment,top1_segment,top1_score,top2_segment,top2_score,top3_segment,top3_score,top4_segment,top4_score,top5_segment,top5_score
We see two people playing foosball.,v_28GYivx4lyk_seg0,v_28GYivx4lyk_seg1,0.334854394197464,v_28GYivx4lyk_seg0,0.332743763923645,v_28GYivx4lyk_seg2,0.29506272077560425,v_ZNsX4KYJlVQ_seg3,0.2308899313211441,v_a42c_maArv4_seg0,0.2264823615550995
 A man in a black shirt leave the room and turns before leaving.,v_28GYivx4lyk_seg1,v_jIYRVlrXJgc_seg3,0.24389180541038513,v_jIYRVlrXJgc_seg2,0.23094424605369568,v_jIYRVlrXJgc_seg0,0.22929203510284424,v_ZNsX4KYJlVQ_seg0,0.22138962149620056,v_jIYRVlrXJgc_seg1,0.20865583419799805
 A man puts his face in front of the camera.,v_28GYivx4lyk_seg2,v_arTumJHoLB0_seg1,0.2931627035140991,v_arTumJHoLB0_seg2,0.2549358904361725,v_arTumJHoLB0_seg0,0.25155532360076904,v_jIYRVlrXJgc_seg3,0.18274761736392975,v_jIYRVlrXJgc_seg0,0.18264824151992798
Two men stands on front a tall hedge holding trimmers.,v_2ErgL7-MXHw_seg0,v_2ErgL7-MXHw_seg2,0.3312683403491974,v_2ErgL7-MXHw_seg0,0.32986265420913696,v_2ErgL7-MXHw_seg1,0.328233927488327,v_H2-rEH9TXR4_seg1,0.21389657258987427,v_H2-rEH9TXR4_seg0,0.2069835066795349
 The men cuts the top of the hedge.,v_2ErgL7-MXHw_seg1,v_2ErgL7-MXHw_seg2,0.35508522391319275,v_2ErgL7-MXHw_seg0,0.34964174032211304,v_2ErgL7-MXHw_seg1,0.3443588614463806,v_H2-rEH9TXR4_seg2,0.23048141598701477,v_H2-rEH9TXR4_seg1,0.22881442308425903
 Leaves falls from the top of the hedge.,v_2ErgL7-MXHw_seg2,v_2ErgL7-MXHw_seg0,0.2673388123512268,v_2ErgL7-MXHw_seg1,0.2655167579650879,v_2ErgL7-MXHw_seg2,0.2652586102485657,v_Ufki4AjZHFI_seg3,0.2122580111026764,v_cKFARm4dsws_seg3,0.211056187748909
A man in black is sitting and playing at a piano while a man in red is standing near drums.,v_3nvVkcxxaJ4_seg0,v_3nvVkcxxaJ4_seg1,0.298939049243927,v_3nvVkcxxaJ4_seg3,0.2973209023475647,v_3nvVkcxxaJ4_seg2,0.29717308282852173,v_3nvVkcxxaJ4_seg0,0.29465192556381226,v_kTStFRAp99E_seg2,0.19150279462337494
" As the man in black plays, the man in red is rolling up a wire.",v_3nvVkcxxaJ4_seg1,v_4R5KDUqBPcU_seg1,0.28506773710250854,v_4R5KDUqBPcU_seg2,0.2802089750766754,v_4R5KDUqBPcU_seg0,0.2751641869544983,v_9uZoTZsTwv0_seg3,0.25614798069000244,v_jIYRVlrXJgc_seg2,0.24647563695907593
 The man in red begins bobbing his head to the beat of the piano music.,v_3nvVkcxxaJ4_seg2,v_3nvVkcxxaJ4_seg1,0.2737523019313812,v_3nvVkcxxaJ4_seg3,0.2721807360649109,v_3nvVkcxxaJ4_seg2,0.2711484730243683,v_3nvVkcxxaJ4_seg0,0.26750412583351135,v_OJJMEEsOdPQ_seg1,0.2211480736732483
 The man then places the wire down.,v_3nvVkcxxaJ4_seg3,v_2ErgL7-MXHw_seg1,0.2938742935657501,v_2ErgL7-MXHw_seg2,0.293282687664032,v_2ErgL7-MXHw_seg0,0.28742730617523193,v_4R5KDUqBPcU_seg2,0.2809920012950897,v_4R5KDUqBPcU_seg1,0.27816957235336304
There's a man wearing a black athletic suit in a shot put field practicing shot put.,v_4R5KDUqBPcU_seg0,v_GZsplhHXQy0_seg3,0.2706683278083801,v_GZsplhHXQy0_seg1,0.26547807455062866,v_4R5KDUqBPcU_seg0,0.26129215955734253,v_GZsplhHXQy0_seg2,0.25892746448516846,v_4R5KDUqBPcU_seg1,0.25257790088653564
 He begins by taking the ball in his hand and holding it against his neck.,v_4R5KDUqBPcU_seg1,v_MAZlsi4Bon8_seg1,0.27810317277908325,v_arTumJHoLB0_seg2,0.27316179871559143,v_MAZlsi4Bon8_seg2,0.2715722620487213,v_5BVcwR8hEo0_seg1,0.2687249183654785,v_5BVcwR8hEo0_seg2,0.2680785655975342
 Then he spins around and throws the ball far ahead.,v_4R5KDUqBPcU_seg2,v_jIYRVlrXJgc_seg2,0.321745365858078,v_zqXJkZgKmSk_seg0,0.3103286623954773,v_jIYRVlrXJgc_seg3,0.3090949058532715,v_zqXJkZgKmSk_seg1,0.30692440271377563,v_4R5KDUqBPcU_seg0,0.3067134916782379
A cat is sitting in a cat bed.,v_4U13LEMIdi4_seg0,v_4U13LEMIdi4_seg1,0.3463422656059265,v_4U13LEMIdi4_seg2,0.3416377007961273,v_4U13LEMIdi4_seg0,0.3291923999786377,v_kTStFRAp99E_seg0,0.13167764246463776,v_fGDVlbI90pw_seg1,0.12466147541999817
 It is licking its paw.,v_4U13LEMIdi4_seg1,v_4U13LEMIdi4_seg0,0.24181580543518066,v_4U13LEMIdi4_seg1,0.23566800355911255,v_4U13LEMIdi4_seg2,0.2294727861881256,v_arTumJHoLB0_seg0,0.22525671124458313,v_arTumJHoLB0_seg1,0.21709021925926208
 It then wipes its paw on its ear.,v_4U13LEMIdi4_seg2,v_4U13LEMIdi4_seg0,0.2343621850013733,v_4U13LEMIdi4_seg1,0.23305095732212067,v_arTumJHoLB0_seg1,0.2264615297317505,v_4U13LEMIdi4_seg2,0.22359976172447205,v_fGDVlbI90pw_seg0,0.2216297835111618
A boy serves a tennis ball.,v_5BVcwR8hEo0_seg0,v_5BVcwR8hEo0_seg1,0.30140751600265503,v_5BVcwR8hEo0_seg2,0.29441529512405396,v_5BVcwR8hEo0_seg0,0.2813543975353241,v_zqXJkZgKmSk_seg0,0.23895612359046936,v_zqXJkZgKmSk_seg1,0.23623356223106384
 He then serves two more.,v_5BVcwR8hEo0_seg1,v_KVmuW9kwZV4_seg1,0.2781054377555847,v_KVmuW9kwZV4_seg2,0.2754926085472107,v_OJJMEEsOdPQ_seg1,0.2741450369358063,v_yKdvz5dgro4_seg2,0.26633453369140625,v_KVmuW9kwZV4_seg0,0.26396268606185913
 The boy turns and walks away.,v_5BVcwR8hEo0_seg2,v_MAZlsi4Bon8_seg2,0.2863788604736328,v_MAZlsi4Bon8_seg1,0.2829012870788574,v_ZNsX4KYJlVQ_seg0,0.2631770968437195,v_UCndppz9rWc_seg0,0.25632232427597046,v_UCndppz9rWc_seg2,0.2543941140174866
man wearing a red shirt is standing in a large green field behind kids.,v_6KG4p_pfMQc_seg0,v_UCndppz9rWc_seg0,0.2612322270870209,v_UCndppz9rWc_seg1,0.25107842683792114,v_UCndppz9rWc_seg2,0.25049349665641785,v_MAZlsi4Bon8_seg2,0.21957194805145264,v_6KG4p_pfMQc_seg1,0.20650926232337952
 little blonde kid throw a ball and a kid kicks the ball in the field.,v_6KG4p_pfMQc_seg1,v_zqXJkZgKmSk_seg0,0.2436588704586029,v_zqXJkZgKmSk_seg1,0.243027001619339,v_zqXJkZgKmSk_seg3,0.23923327028751373,v_6KG4p_pfMQc_seg2,0.2309945821762085,v_MAZlsi4Bon8_seg2,0.23078952729701996
 kisd are running in the field to catch th ball.,v_6KG4p_pfMQc_seg2,v_zqXJkZgKmSk_seg3,0.32766544818878174,v_zqXJkZgKmSk_seg1,0.3143410384654999,v_6KG4p_pfMQc_seg1,0.3072323799133301,v_zqXJkZgKmSk_seg2,0.3039754629135132,v_6KG4p_pfMQc_seg0,0.2981751561164856
A teenage boy on a horse spinning a rope in the air chases after a little cow.,v_9uZoTZsTwv0_seg0,v_9uZoTZsTwv0_seg1,0.29217952489852905,v_9uZoTZsTwv0_seg0,0.290713906288147,v_9uZoTZsTwv0_seg2,0.2755171060562134,v_9uZoTZsTwv0_seg3,0.2547340989112854,v_zqXJkZgKmSk_seg1,0.20390525460243225
 The cow is running and the boy throws the rope around its neck.,v_9uZoTZsTwv0_seg1,v_9uZoTZsTwv0_seg1,0.3184160590171814,v_9uZoTZsTwv0_seg0,0.31303977966308594,v_9uZoTZsTwv0_seg3,0.2879423499107361,v_MAZlsi4Bon8_seg1,0.28515946865081787,v_9uZoTZsTwv0_seg2,0.28154826164245605
 It causes the cow to fall over after being pulled back by the rope.,v_9uZoTZsTwv0_seg2,v_9uZoTZsTwv0_seg1,0.3077307641506195,v_9uZoTZsTwv0_seg0,0.30068641901016235,v_9uZoTZsTwv0_seg3,0.2886921465396881,v_9uZoTZsTwv0_seg2,0.269983172416687,v_MAZlsi4Bon8_seg0,0.24084264039993286
 The boy goes running off the horse after it and pins the little cow down.,v_9uZoTZsTwv0_seg3,v_9uZoTZsTwv0_seg1,0.33683979511260986,v_9uZoTZsTwv0_seg0,0.32554176449775696,v_9uZoTZsTwv0_seg2,0.32484161853790283,v_9uZoTZsTwv0_seg3,0.318986713886261,v_MAZlsi4Bon8_seg2,0.29815730452537537
A man performs a kettle throw in front of an outdoor stadium filled with spectators in the audience.,v_GZsplhHXQy0_seg0,v_4R5KDUqBPcU_seg0,0.27948087453842163,v_GZsplhHXQy0_seg3,0.2710685729980469,v_4R5KDUqBPcU_seg1,0.2708934545516968,v_GZsplhHXQy0_seg2,0.2700560688972473,v_4R5KDUqBPcU_seg2,0.26644253730773926
  A man on a round dirt area on a field swings a ball around and around while standing in place.,v_GZsplhHXQy0_seg1,v_6KG4p_pfMQc_seg1,0.28282302618026733,v_GZsplhHXQy0_seg2,0.2823154628276825,v_GZsplhHXQy0_seg1,0.2743874192237854,v_GZsplhHXQy0_seg3,0.2719610333442688,v_zqXJkZgKmSk_seg0,0.2719411551952362
"  The man lets the ball go, where it flies in the air ahead of him.",v_GZsplhHXQy0_seg2,v_zqXJkZgKmSk_seg0,0.3193194568157196,v_4R5KDUqBPcU_seg1,0.3188605308532715,v_4R5KDUqBPcU_seg0,0.3182618021965027,v_5BVcwR8hEo0_seg1,0.31760749220848083,v_4R5KDUqBPcU_seg2,0.31577104330062866
  The man stops and bends with his knees as he watches the ball fly in the air.,v_GZsplhHXQy0_seg3,v_4R5KDUqBPcU_seg1,0.30556368827819824,v_4R5KDUqBPcU_seg0,0.303993284702301,v_4R5KDUqBPcU_seg2,0.2995768189430237,v_GZsplhHXQy0_seg3,0.29112109541893005,v_5BVcwR8hEo0_seg1,0.2903536558151245
A woman in blue shorts hands a man a dart.,v_H2-rEH9TXR4_seg0,v_H2-rEH9TXR4_seg0,0.2677849233150482,v_sVk-Br0zfkA_seg0,0.2592587471008301,v_ZNsX4KYJlVQ_seg3,0.24143558740615845,v_sVk-Br0zfkA_seg2,0.23546335101127625,v_H2-rEH9TXR4_seg1,0.2341247797012329
 A man in a white hat throws a dart at a board.,v_H2-rEH9TXR4_seg1,v_sVk-Br0zfkA_seg1,0.242908775806427,v_ZNsX4KYJlVQ_seg3,0.2352679818868637,v_sVk-Br0zfkA_seg0,0.22914066910743713,v_H2-rEH9TXR4_seg1,0.22408507764339447,v_H2-rEH9TXR4_seg0,0.22243547439575195
 The woman walks up to the board.,v_H2-rEH9TXR4_seg2,v_jIYRVlrXJgc_seg2,0.23379075527191162,v_sVk-Br0zfkA_seg2,0.22763338685035706,v_jIYRVlrXJgc_seg3,0.21953147649765015,v_ZNsX4KYJlVQ_seg3,0.21228143572807312,v_4R5KDUqBPcU_seg2,0.21162214875221252
A man at his dish washing job has a very unique way to do his dishes at a very fast speed.,v_KVmuW9kwZV4_seg0,v_KVmuW9kwZV4_seg1,0.41003143787384033,v_KVmuW9kwZV4_seg2,0.40442949533462524,v_KVmuW9kwZV4_seg0,0.39558255672454834,v_KVmuW9kwZV4_seg3,0.3600049614906311,v_yKdvz5dgro4_seg2,0.31586140394210815
 He throws all the plates one by one very fast.,v_KVmuW9kwZV4_seg1,v_KVmuW9kwZV4_seg2,0.37320074439048767,v_KVmuW9kwZV4_seg1,0.37032681703567505,v_KVmuW9kwZV4_seg0,0.3553996682167053,v_KVmuW9kwZV4_seg3,0.3299560248851776,v_uwGcEaW3z3Q_seg1,0.2901756763458252
" They all land into the sink on top of each other after he wipes them down, some of them fall out a bit.",v_KVmuW9kwZV4_seg2,v_yKdvz5dgro4_seg2,0.2818675935268402,v_yKdvz5dgro4_seg0,0.2777041792869568,v_yKdvz5dgro4_seg1,0.2771031856536865,v_KVmuW9kwZV4_seg2,0.27102893590927124,v_KVmuW9kwZV4_seg1,0.26792746782302856
 The he pushes them all down into the water.,v_KVmuW9kwZV4_seg3,v_PPXrVuZAb74_seg2,0.27654752135276794,v_vMYPNyBR3d0_seg0,0.26756715774536133,v_vMYPNyBR3d0_seg2,0.2511666715145111,v_vMYPNyBR3d0_seg1,0.2502249479293823,v_PPXrVuZAb74_seg1,0.23847214877605438
A young boy is at a party holding a stick and hitting a pinata.,v_MAZlsi4Bon8_seg0,v_MAZlsi4Bon8_seg2,0.31790682673454285,v_MAZlsi4Bon8_seg1,0.3112386465072632,v_MAZlsi4Bon8_seg0,0.28556138277053833,v_ZNsX4KYJlVQ_seg0,0.21800708770751953,v_ZNsX4KYJlVQ_seg1,0.2090141475200653
