video_id,video_path,caption
video1002,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video1002.mp4,a baseball pitcher practicing his pitches
video1030,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video1030.mp4,a man talks about football scores
video1071,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video1071.mp4,a couple of people shooting a basketball
video1077,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video1077.mp4,a commercial for a soccer video game
video1211,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video1211.mp4,a cowboy and a police officer firings guns followed by football action
video1241,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video1241.mp4,a game of soccer is being played
video1247,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video1247.mp4,a football player scores a touchdown
video1249,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video1249.mp4,a clip of a football game
video1295,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video1295.mp4,a football player makes a point for his team
video1327,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video1327.mp4,a clip of a soccer match
video1329,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video1329.mp4,a basketball assist leads to a slam-dunk
video1354,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video1354.mp4,a football player is tackling another player
video136,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video136.mp4,today were are talking about running downhill as we watch a bunch of people running
video1368,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video1368.mp4,a cartoon animal is running around
video1397,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video1397.mp4,a dog is playing in a swimming pool with another dog
video1408,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video1408.mp4,a football player with a football
video1480,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video1480.mp4,a man is jumping and running while another man is watching
video1536,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video1536.mp4,two extremely talented athletes are vying for the win in a table tennis match
video1543,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video1543.mp4,a man in green t-shirt is practising his table tennis skills
video157,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video157.mp4,a compilation of fight videos dance video and basketball footage with a rap music in the background
video158,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video158.mp4,a football player is being interviewed on the field
video1585,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video1585.mp4,a crowd cheering while watching a football game
video1608,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video1608.mp4,there is going on a table tennis game between two people one is in yellow and the other is in red dressing
video1623,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video1623.mp4,a basketball game being played
video1652,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video1652.mp4,a basketball player shooting a jump shot and then celebrating afterwords
video1667,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video1667.mp4,a basketball player does a slam dunk
video1734,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video1734.mp4,a football match is going on
video179,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video179.mp4,a girl in a soccer uniform confronts a guy on a soccer field
video1913,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video1913.mp4,a football player dances with his team-mates
video1930,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video1930.mp4,a baseball player hits a ball and it is out at first base
video1940,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video1940.mp4,a baseball player is sliding into second base
video1949,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video1949.mp4,a comedic song about the houston texans football team
video1954,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video1954.mp4,a blocky video game character is running towards a flight of stairs while dodging arrows and firing back at his assailant before finally reaching the stairs and walking up them victoriously
video1967,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video1967.mp4,a man with spiky hair talks with a news reporter about golf
video1997,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video1997.mp4,a man is water skiing behind a boat
video2038,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2038.mp4,some screenshots of baseball players swinging bats
video2054,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2054.mp4,men are playing soccer and a man in a red shirt and a man in a yellow shirt get tackled
video2101,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2101.mp4,a basketball player shoots a basket
video2120,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2120.mp4,a golfer drives a ball
video2248,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2248.mp4,on a baseball field referees discuss a play
video2260,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2260.mp4,a man in short red shorts tosses jalapenos through a tiny basketball hoop into a bowl of nachos
video2282,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2282.mp4,a gamer plays a soccer video game
video2311,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2311.mp4,a basketball player performs a slam dunk
video2314,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2314.mp4,there is a tiger running towards the water
video2347,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2347.mp4,a female soccer goalie being interviewed by the press
video2379,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2379.mp4,two people playing table tennis game in front of the audience
video2390,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2390.mp4,a basketball game is played
video2434,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2434.mp4,a commentator is talking about a soccer game
video2445,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2445.mp4,a man catches footballs while navigating abound small pools of water
video2525,D:\UNI\Isemestre\IAGenerativa\repositorio\owner\MCC225\Semana4\ProyectoFinal\data\msr-vtt\videos\video2525.mp4,the woman players in red and black dress running fastly on the track
