image_id,num_captions,min_len,max_len,mean_len,image_exists
img_00000,5,7,12,9.0,True
img_00001,5,5,14,10.0,True
img_00002,5,10,14,11.8,True
img_00003,5,6,12,9.2,True
img_00004,5,5,14,9.8,True
img_00005,5,11,19,13.8,True
img_00006,5,12,18,14.6,True
img_00007,5,6,15,10.2,True
img_00008,5,6,16,10.0,True
img_00009,5,10,18,13.6,True
img_00010,5,6,15,11.0,True
img_00011,5,2,9,7.0,True
img_00012,5,5,12,8.2,True
img_00013,5,5,15,8.8,True
img_00014,5,7,17,11.0,True
img_00015,5,11,16,13.6,True
img_00016,5,7,19,11.2,True
img_00017,5,8,17,14.2,True
img_00018,5,10,14,12.0,True
img_00019,5,5,12,8.2,True
img_00020,5,8,19,14.2,True
img_00021,5,10,20,16.0,True
img_00022,5,3,14,7.4,True
img_00023,5,4,17,10.4,True
img_00024,5,6,14,11.0,True
img_00025,5,4,23,12.0,True
img_00026,5,12,21,16.2,True
img_00027,5,9,21,14.8,True
img_00028,5,15,18,16.4,True
img_00029,5,6,12,9.6,True
img_00030,5,5,14,10.0,True
img_00031,5,6,13,10.4,True
img_00032,5,6,14,10.4,True
img_00033,5,7,19,11.6,True
img_00034,5,9,15,12.4,True
img_00035,5,8,17,11.4,True
img_00036,5,10,13,12.0,True
img_00037,5,10,15,13.0,True
img_00038,5,6,15,11.6,True
img_00039,5,8,17,11.4,True
img_00040,5,6,21,13.2,True
img_00041,5,6,10,8.0,True
img_00042,5,5,12,8.6,True
img_00043,5,5,8,6.8,True
img_00044,5,8,15,12.4,True
img_00045,5,8,19,14.0,True
img_00046,5,6,16,8.8,True
img_00047,5,9,13,11.0,True
img_00048,5,9,13,11.0,True
img_00049,5,9,14,11.6,True
img_00050,5,7,14,9.2,True
img_00051,5,10,13,11.8,True
img_00052,5,7,14,10.6,True
img_00053,5,6,17,10.6,True
img_00054,5,6,9,7.8,True
img_00055,5,7,13,11.4,True
img_00056,5,8,14,11.0,True
img_00057,5,6,23,13.0,True
img_00058,5,7,19,12.2,True
img_00059,5,5,13,8.4,True
img_00060,5,6,8,7.2,True
img_00061,5,8,13,10.0,True
img_00062,5,9,17,12.4,True
img_00063,5,10,18,12.4,True
img_00064,5,6,15,11.0,True
img_00065,5,9,20,12.4,True
img_00066,5,7,18,11.0,True
img_00067,5,9,25,16.8,True
img_00068,5,4,13,9.2,True
img_00069,5,8,15,10.8,True
img_00070,5,7,23,13.8,True
img_00071,5,7,19,13.0,True
img_00072,5,6,15,9.8,True
img_00073,5,5,15,10.2,True
img_00074,5,10,13,11.4,True
img_00075,5,4,12,7.6,True
img_00076,5,6,13,8.8,True
img_00077,5,8,11,9.8,True
img_00078,5,5,9,7.6,True
img_00079,5,7,18,12.8,True
img_00080,5,7,13,9.6,True
img_00081,5,6,9,7.6,True
img_00082,5,8,13,11.2,True
img_00083,5,7,19,12.4,True
img_00084,5,6,12,8.8,True
img_00085,5,11,20,13.8,True
img_00086,5,4,19,10.4,True
img_00087,5,10,17,12.6,True
img_00088,5,5,21,13.4,True
img_00089,5,7,18,10.8,True
img_00090,5,7,18,12.0,True
img_00091,5,12,15,13.6,True
img_00092,5,10,13,11.0,True
img_00093,5,8,15,11.6,True
img_00094,5,9,16,13.2,True
img_00095,5,5,14,9.4,True
img_00096,5,9,15,12.8,True
img_00097,5,11,14,12.2,True
img_00098,5,7,15,11.0,True
img_00099,5,5,18,12.2,True
img_00100,5,8,12,10.0,True
img_00101,5,6,12,8.8,True
img_00102,5,7,15,11.0,True
img_00103,5,10,15,12.6,True
img_00104,5,8,12,10.0,True
img_00105,5,5,14,9.2,True
img_00106,5,5,15,11.6,True
img_00107,5,7,18,12.6,True
img_00108,5,5,16,11.8,True
img_00109,5,9,21,15.0,True
img_00110,5,9,12,10.2,True
img_00111,5,9,20,13.6,True
img_00112,5,5,16,9.8,True
img_00113,5,6,13,9.2,True
img_00114,5,8,12,10.0,True
img_00115,5,7,28,13.4,True
img_00116,5,6,12,8.2,True
img_00117,5,9,12,10.8,True
img_00118,5,6,14,10.0,True
img_00119,5,8,19,10.8,True
img_00120,5,2,17,12.2,True
img_00121,5,9,14,11.8,True
img_00122,5,13,17,14.0,True
img_00123,5,9,14,12.4,True
img_00124,5,8,18,13.0,True
img_00125,5,6,13,9.8,True
img_00126,5,5,11,8.0,True
img_00127,5,7,14,9.4,True
img_00128,5,10,14,11.8,True
img_00129,5,7,12,9.6,True
img_00130,5,10,13,11.6,True
img_00131,5,6,14,10.4,True
img_00132,5,7,10,8.6,True
img_00133,5,10,19,15.0,True
img_00134,5,7,27,12.4,True
img_00135,5,8,13,10.8,True
img_00136,5,5,11,8.4,True
img_00137,5,7,12,9.2,True
img_00138,5,6,27,13.0,True
img_00139,5,3,14,6.4,True
img_00140,5,8,12,10.0,True
img_00141,5,6,10,8.2,True
img_00142,5,12,24,16.4,True
img_00143,5,9,19,11.6,True
img_00144,5,4,12,7.0,True
img_00145,5,4,15,10.6,True
img_00146,5,7,18,12.4,True
img_00147,5,3,14,8.8,True
img_00148,5,5,12,8.4,True
img_00149,5,5,12,9.6,True
img_00150,5,7,17,11.2,True
img_00151,5,6,12,9.2,True
img_00152,5,5,18,12.0,True
img_00153,5,5,15,9.2,True
img_00154,5,9,12,10.4,True
img_00155,5,6,19,10.2,True
img_00156,5,11,19,15.6,True
img_00157,5,6,14,9.8,True
img_00158,5,9,16,12.4,True
img_00159,5,10,17,13.6,True
img_00160,5,10,13,11.2,True
img_00161,5,9,14,11.2,True
img_00162,5,12,19,14.4,True
img_00163,5,11,16,12.6,True
img_00164,5,7,13,8.4,True
img_00165,5,5,11,8.6,True
img_00166,5,11,18,15.0,True
img_00167,5,6,12,9.4,True
img_00168,5,8,13,10.2,True
img_00169,5,5,12,9.4,True
img_00170,5,10,13,11.6,True
img_00171,5,7,13,10.0,True
img_00172,5,9,14,10.6,True
img_00173,5,10,15,12.4,True
img_00174,5,6,20,12.8,True
img_00175,5,6,16,9.4,True
img_00176,5,6,21,10.2,True
img_00177,5,6,13,9.6,True
img_00178,5,4,17,10.4,True
img_00179,5,8,12,9.8,True
img_00180,5,4,10,7.8,True
img_00181,5,6,13,10.6,True
img_00182,5,6,14,11.4,True
img_00183,5,7,15,10.4,True
img_00184,5,11,15,12.6,True
img_00185,5,5,13,7.6,True
img_00186,5,11,15,12.8,True
img_00187,5,7,12,9.6,True
img_00188,5,8,21,12.6,True
img_00189,5,8,16,12.4,True
img_00190,5,6,10,7.2,True
img_00191,5,7,7,7.0,True
img_00192,5,6,13,9.2,True
img_00193,5,5,13,8.6,True
img_00194,5,6,9,7.4,True
img_00195,5,6,9,7.8,True
img_00196,5,9,17,11.6,True
img_00197,5,6,13,9.6,True
img_00198,5,8,18,12.4,True
img_00199,5,6,13,9.0,True
img_00200,5,6,15,10.2,True
img_00201,5,6,10,8.4,True
img_00202,5,6,17,10.2,True
img_00203,5,6,14,10.8,True
img_00204,5,8,13,10.6,True
img_00205,5,7,11,9.4,True
img_00206,5,6,14,10.0,True
img_00207,5,3,11,6.8,True
img_00208,5,5,12,7.6,True
img_00209,5,9,21,15.0,True
img_00210,5,5,8,7.0,True
img_00211,5,7,15,9.4,True
img_00212,5,6,13,9.2,True
img_00213,5,8,13,9.8,True
img_00214,5,6,13,9.2,True
img_00215,5,5,11,8.6,True
img_00216,5,5,13,8.4,True
img_00217,5,6,10,8.4,True
img_00218,5,7,18,9.4,True
img_00219,5,6,20,9.6,True
img_00220,5,6,16,8.6,True
img_00221,5,9,16,12.6,True
img_00222,5,6,16,10.4,True
img_00223,5,9,19,12.8,True
img_00224,5,6,14,10.4,True
img_00225,5,12,23,15.6,True
img_00226,5,6,12,9.8,True
img_00227,5,9,13,10.2,True
img_00228,5,6,11,8.6,True
img_00229,5,11,16,13.2,True
img_00230,5,6,20,10.6,True
img_00231,5,10,19,13.4,True
img_00232,5,8,15,12.4,True
img_00233,5,8,11,9.6,True
img_00234,5,6,22,13.2,True
img_00235,5,7,13,10.0,True
img_00236,5,9,19,13.0,True
img_00237,5,6,9,7.2,True
img_00238,5,8,17,11.6,True
img_00239,5,6,13,8.2,True
