image_id,image_path,caption_1,caption_2,caption_3,caption_4,caption_5
img_00000,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00000.jpg,A black dog is running after a white dog in the snow .,Black dog chasing brown dog through snow,Two dogs chase each other across the snowy ground .,Two dogs play together in the snow .,Two dogs running through a low lying body of water .
img_00001,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00001.jpg,A little baby plays croquet .,A little girl plays croquet next to a truck .,The child is playing croquette by the truck .,The kid is in front of a car with a put and a ball .,The little boy is playing with a croquet hammer and ball beside the car .
img_00002,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00002.jpg,A brown dog in the snow has something hot pink in its mouth .,A brown dog in the snow holding a pink hat .,A brown dog is holding a pink shirt in the snow .,A dog is carrying something pink in its mouth while walking through the snow .,A dog with something pink in its mouth is looking forward .
img_00003,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00003.jpg,A brown dog is running along a beach .,A brown dog wearing a black collar running across the beach .,A dog walks on the sand near the water .,Brown dog running on the beach .,The large brown dog is running on the beach by the ocean .
img_00004,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00004.jpg,A black and white dog with a red Frisbee standing on a sandy beach .,A dog drops a red disc on a beach .,A dog with a red Frisbee flying in the air .,Dog catching a red Frisbee .,The black dog is dropping a red disc on a beach .
img_00005,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00005.jpg,A cyclist wearing a red helmet is riding on the pavement .,A girl is riding a bike on the street while wearing a red helmet .,"A person on a bike wearing a red helmet , riding down a street .",A woman wears a red helmet and blue shirt as she goes for a bike ride in the shade .,Person in blue shirt and red helmet riding bike down the road
img_00006,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00006.jpg,A man dressed in a purple shirt and red bandanna smiles at the people watching him .,A man on the street wearing leather chaps and a chainmail codpiece .,A man wearing a purple shirt and black leather chaps poses for the camera .,Man dressed in leather chaps and purple shirt stands in front of onlookers,"There is a man in a purple shirt , leather chaps and a red bandanna , standing near other men ."
img_00007,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00007.jpg,A boy wearing a red t-shirt is running through woodland .,A child runs near some trees .,A young boy is dancing around .,A young boy with a red short sleeved shirt and jeans runs by some trees .,The little boy in the red shirt stops to smile for the camera .
img_00008,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00008.jpg,A girl in a white dress .,A little girl in white is looking back at the camera while carrying a water grenade .,A smiling young girl in braids is playing ball .,A young girl wearing white looks at the camera as she plays .,The girl is holding a green ball .
img_00009,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00009.jpg,A skier in a yellow jacket is airborne above the mountains .,A skier jumps high in the air with a view of the mountains .,A skiing man in a fluorescent jacket jumps very high and it looks as though he is flying .,Somone is high in the air doing a ski jump .,The skier in the green jacket and white pants appears to almost fly into the sky .
img_00010,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00010.jpg,A photographer looks over the hills .,A woman in a red jacket is videotaping a natural landscape .,A woman with a camera looks out over rolling hills .,A woman with a camera on a tripod is looking at the view .,Lady in red shirt has her camera set up in the field to record something .
img_00011,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00011.jpg,A bunch of girls in cheerleader outfits .,a large group of cheerleaders walking in a parade,Cheerleaders perform .,"many cheerleaders wearing black , walk down the street .","Parade of cheerleaders wearing black , pink and white uniforms ."
img_00012,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00012.jpg,A blue boat with a yellow canopy is floating on calm waters .,A boat in the water .,A boat with a roof on green water .,The boat is in the middle of the water .,The solitude boat floats on the lake .
img_00013,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00013.jpg,A dog catches a Frisbee in midair .,A dog catching a Frisbee .,A terrier mix catches a Frisbee in the air .,A white and black dog catching a Frisbee .,A white dog is leaping in the air with a green object in its mouth .
img_00014,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00014.jpg,A little old lady sitting next to an advertisement .,An Asian woman waiting at an underground train stop .,An old woman sits in a transit station next to a backlit advertisement .,A woman sits in a subway station .,"A woman with an umbrella is sitting at a station , with an Aquos commercial on the wall ."
img_00015,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00015.jpg,A blond girl wearing a green jacket walks on a trail along side a metal fence .,A girl in a green coat walks down a rural road playing a flute,A young girl in a parka playing a flute while walking by a fenced in field .,Girl in green and blue jacket walking past an enclosed field .,Girl playing flute as she walks by fence in rural area .
img_00016,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00016.jpg,"A family of nine people , including four children , pose in front of a brick fireplace with a white mantle .",A family poses in front of the fireplace and Christmas tree .,A family posing by the mantle and christmas tree .,A happy family poses by the fireplace .,Two couples and four kids pose for a family picture .
img_00017,/workspace/Exposicion2/notebooks/data/processed/images/imagen_00017.jpg,Man in a sweater pointing at the camera .,One man is posing with arms outstretched and finger pointed while another stares from behind him .,The man in the black hat stands behind the man who is pointing his finger .,"Two men look toward the camera , while the one in front points his index finger .","Two men , one wearing a black hat while the one in front points , standing in a hallway ."
