image_id,filename,filepath,split,caption,label,all_captions_json,source_dataset,source_hf_split
flickr1k_0,1000092795.jpg,/workspace/Semana4/Proyecto/data/processed/flickr1k_hf/images/1000092795.jpg,train,Two young guys with shaggy hair look at their hands while hanging out in the yard.,,"[""Two young guys with shaggy hair look at their hands while hanging out in the yard."", ""Two young, White males are outside near many bushes."", ""Two men in green shirts are standing in a yard."", ""A man in a blue shirt standing in a garden."", ""Two friends enjoy time spent together.""]",Vishva007/Flickr-Dataset-1k,train
flickr1k_1,10002456.jpg,/workspace/Semana4/Proyecto/data/processed/flickr1k_hf/images/10002456.jpg,train,Several men in hard hats are operating a giant pulley system.,,"[""Several men in hard hats are operating a giant pulley system."", ""Workers look down from up above on a piece of equipment."", ""Two men working on a machine wearing hard hats."", ""Four men on top of a tall structure."", ""Three men on a large rig.""]",Vishva007/Flickr-Dataset-1k,train
flickr1k_2,1000268201.jpg,/workspace/Semana4/Proyecto/data/processed/flickr1k_hf/images/1000268201.jpg,train,A child in a pink dress is climbing up a set of stairs in an entry way.,,"[""A child in a pink dress is climbing up a set of stairs in an entry way."", ""A little girl in a pink dress going into a wooden cabin."", ""A little girl climbing the stairs to her playhouse."", ""A little girl climbing into a wooden playhouse."", ""A girl going into a wooden building.""]",Vishva007/Flickr-Dataset-1k,train
flickr1k_3,1000344755.jpg,/workspace/Semana4/Proyecto/data/processed/flickr1k_hf/images/1000344755.jpg,train,Someone in a blue shirt and hat is standing on stair and leaning against a window.,,"[""Someone in a blue shirt and hat is standing on stair and leaning against a window."", ""A man in a blue shirt is standing on a ladder cleaning a window."", ""A man on a ladder cleans the window of a tall building."", ""Man in blue shirt and jeans on ladder cleaning windows"", ""A man on a ladder cleans a window""]",Vishva007/Flickr-Dataset-1k,train
flickr1k_4,1000366164.jpg,/workspace/Semana4/Proyecto/data/processed/flickr1k_hf/images/1000366164.jpg,train,"Two men, one in a gray shirt, one in a black shirt, standing near a stove.",,"[""Two men, one in a gray shirt, one in a black shirt, standing near a stove."", ""Two guy cooking and joking around with the camera."", ""Two men in a kitchen cooking food on a stove."", ""Two men are at the stove preparing food."", ""Two men are cooking a meal.""]",Vishva007/Flickr-Dataset-1k,train
flickr1k_5,1000523639.jpg,/workspace/Semana4/Proyecto/data/processed/flickr1k_hf/images/1000523639.jpg,train,Two people in the photo are playing the guitar and the other is poking at him.,,"[""Two people in the photo are playing the guitar and the other is poking at him."", ""A man in green holds a guitar while the other man observes his shirt."", ""A man is fixing the guitar players costume."", ""A guy stitching up another man's coat."", ""The two boys playing guitar""]",Vishva007/Flickr-Dataset-1k,train
flickr1k_6,1000919630.jpg,/workspace/Semana4/Proyecto/data/processed/flickr1k_hf/images/1000919630.jpg,train,A man sits in a chair while holding a large stuffed animal of a lion.,,"[""A man sits in a chair while holding a large stuffed animal of a lion."", ""A man is sitting on a chair holding a large stuffed animal."", ""A man completes the finishing touches on a stuffed lion."", ""A man holds a large stuffed lion toy."", ""A man is smiling at a stuffed lion""]",Vishva007/Flickr-Dataset-1k,train
flickr1k_7,10010052.jpg,/workspace/Semana4/Proyecto/data/processed/flickr1k_hf/images/10010052.jpg,train,A girl is on rollerskates talking on her cellphone standing in a parking lot.,,"[""A girl is on rollerskates talking on her cellphone standing in a parking lot."", ""A trendy girl talking on her cellphone while gliding slowly down the street."", ""A young adult wearing rollerblades, holding a cellular phone to her ear."", ""There is a young girl on her cellphone while skating."", ""Woman talking on cellphone and wearing rollerskates.""]",Vishva007/Flickr-Dataset-1k,train
flickr1k_8,1001465944.jpg,/workspace/Semana4/Proyecto/data/processed/flickr1k_hf/images/1001465944.jpg,train,An asian man wearing a black suit stands near a dark-haired woman and a brown-haired woman.,,"[""An asian man wearing a black suit stands near a dark-haired woman and a brown-haired woman."", ""Three people are standing outside near large pipes and a metal railing."", ""A young woman walks past two young people dressed in hip black outfits."", ""A woman with a large purse is walking by a gate."", ""Several people standing outside a building.""]",Vishva007/Flickr-Dataset-1k,train
flickr1k_9,1001545525.jpg,/workspace/Semana4/Proyecto/data/processed/flickr1k_hf/images/1001545525.jpg,train,Two men in Germany jumping over a rail at the same time without shirts.,,"[""Two men in Germany jumping over a rail at the same time without shirts."", ""Two youths are jumping over a roadside railing, at night."", ""Boys dancing on poles in the middle of the night."", ""Two men with no shirts jumping over a rail."", ""Two guys jumping over a gate together""]",Vishva007/Flickr-Dataset-1k,train
