video_id,frame_file,sport,frame_number,caption_by_blip
video1623,video1623_frame_000.jpg,basketball,0,a man is standing on the court with his head in the air
video1623,video1623_frame_001.jpg,basketball,1,a crowd of people are cheering and holding up their hands
video1623,video1623_frame_002.jpg,basketball,2,a basketball game with a player in the middle of the court
video1623,video1623_frame_003.jpg,basketball,3,a basketball game with a player in the middle of the court
video1623,video1623_frame_004.jpg,basketball,4,a basketball game with a player in the middle of the court
video1623,video1623_frame_005.jpg,basketball,5,a basketball game with a player in the middle of the court
video1623,video1623_frame_006.jpg,basketball,6,a basketball player is about to dun the ball
video1623,video1623_frame_007.jpg,basketball,7,a basketball game with a crowd watching
video1623,video1623_frame_008.jpg,basketball,8,the cavaliers's game winning shot is the best
video1623,video1623_frame_009.jpg,basketball,9,the crowd is watching the game as the basketball player goes to the basket
video1623,video1623_frame_010.jpg,basketball,10,a basketball player is standing on the court
video1623,video1623_frame_011.jpg,basketball,11,a basketball player is running down the court
video1667,video1667_frame_000.jpg,basketball,0,a man is playing basketball on the court
video1667,video1667_frame_001.jpg,basketball,1,a man is dunking a basketball hoop
video1667,video1667_frame_002.jpg,basketball,2,a man duns a basketball hoop in the air
video1667,video1667_frame_003.jpg,basketball,3,a man is standing on a skateboard in the street
video1667,video1667_frame_004.jpg,basketball,4,a man is playing basketball on the street
video1667,video1667_frame_005.jpg,basketball,5,a man is jumping up to the hoop
video1667,video1667_frame_006.jpg,basketball,6,a man is jumping in the air with a basketball ball
video1667,video1667_frame_007.jpg,basketball,7,a man is playing basketball in a large room
video1667,video1667_frame_008.jpg,basketball,8,a man duns a basketball ball in the air
video1667,video1667_frame_009.jpg,basketball,9,a man duns a basketball ball in the air
video1667,video1667_frame_010.jpg,basketball,10,a basketball game with a crowd watching
video1667,video1667_frame_011.jpg,basketball,11,a crowd of people standing around a basketball court
video2101,video2101_frame_000.jpg,basketball,0,a basketball player is standing on the court
video2101,video2101_frame_001.jpg,basketball,1,a basketball game with a player shooting the ball
video2101,video2101_frame_002.jpg,basketball,2,nba live game highlights
video2101,video2101_frame_003.jpg,basketball,3,a basketball game with a player jumping over the net
video2101,video2101_frame_004.jpg,basketball,4,a basketball game with a player on the court
video2101,video2101_frame_005.jpg,basketball,5,the best nba game ever
video2101,video2101_frame_006.jpg,basketball,6,a basketball player is about to shoot the ball
video2101,video2101_frame_007.jpg,basketball,7,a basketball game with a player in the middle of the court
video2101,video2101_frame_008.jpg,basketball,8,a basketball game with a player shooting the ball
video2101,video2101_frame_009.jpg,basketball,9,a basketball player is duning the ball
video2101,video2101_frame_010.jpg,basketball,10,a black background with a white line on the bottom
video2101,video2101_frame_011.jpg,basketball,11,a black background with a white line on the bottom
video2161,video2161_frame_000.jpg,basketball,0,a man in a purple jersey is playing basketball
video2161,video2161_frame_001.jpg,basketball,1,a man in a blue jersey is talking to another man in a blue jersey
video2161,video2161_frame_002.jpg,basketball,2,a basketball game with a player duning the ball
video2161,video2161_frame_003.jpg,basketball,3,a basketball player duns the ball into the hoop
video2161,video2161_frame_004.jpg,basketball,4,a basketball player duns the ball into the hoop
video2161,video2161_frame_005.jpg,basketball,5,a basketball player duns the ball into the hoop
video2161,video2161_frame_006.jpg,basketball,6,a basketball player duns the ball into the hoop
video2161,video2161_frame_007.jpg,basketball,7,"the game is over and the game is over, but it's not over"
video2161,video2161_frame_008.jpg,basketball,8,a basketball game with a player in the middle of the court
video2161,video2161_frame_009.jpg,basketball,9,a basketball game with a player in the middle of the court
video2161,video2161_frame_010.jpg,basketball,10,"the game is over and the game is over, but the game is over"
video2161,video2161_frame_011.jpg,basketball,11,a basketball game with a player on the court
video2305,video2305_frame_000.jpg,basketball,0,a man in a black shirt is holding a basketball ball
video2305,video2305_frame_001.jpg,basketball,1,a man is playing basketball in a gym
video2305,video2305_frame_002.jpg,basketball,2,a man is standing on a basketball court
video2305,video2305_frame_003.jpg,basketball,3,a man is playing basketball in a gym
video2305,video2305_frame_004.jpg,basketball,4,a man is jumping in the air while playing basketball
video2305,video2305_frame_005.jpg,basketball,5,a man is shooting a basketball ball in a gym
video2305,video2305_frame_006.jpg,basketball,6,a man is doing a trick on a basketball court
video2305,video2305_frame_007.jpg,basketball,7,a man is standing on a basketball court
video2305,video2305_frame_008.jpg,basketball,8,a man is holding a basketball ball in his hand
video2305,video2305_frame_009.jpg,basketball,9,a man is playing basketball in a gym
video2305,video2305_frame_010.jpg,basketball,10,a man is shooting a basketball ball in a gym
video2305,video2305_frame_011.jpg,basketball,11,a man is shooting a basketball ball in a gym
video2390,video2390_frame_000.jpg,basketball,0,a man is standing on the sidelines with his head in his hands
video2390,video2390_frame_001.jpg,basketball,1,a man is talking to a basketball player
video2390,video2390_frame_002.jpg,basketball,2,a man is being interviewed by a reporter
video2390,video2390_frame_003.jpg,basketball,3,a basketball player is trying to block the ball
video2390,video2390_frame_004.jpg,basketball,4,a basketball player is duning the ball
video2390,video2390_frame_005.jpg,basketball,5,a man in a white uniform is playing basketball
video2390,video2390_frame_006.jpg,basketball,6,a basketball game with a player shooting the ball
video2390,video2390_frame_007.jpg,basketball,7,a basketball game is being played on the court
video2390,video2390_frame_008.jpg,basketball,8,a basketball game with a player shooting the ball
video2390,video2390_frame_009.jpg,basketball,9,a basketball game is being played on a tv screen
video2390,video2390_frame_010.jpg,basketball,10,the earth's orbit is seen in this image from nasa
video2390,video2390_frame_011.jpg,basketball,11,the number 3 is the number 3
video2877,video2877_frame_000.jpg,basketball,0,a basketball player is running with the ball
video2877,video2877_frame_001.jpg,basketball,1,a basketball player is trying to block the ball
video2877,video2877_frame_002.jpg,basketball,2,a basketball game with a player in the middle
video2877,video2877_frame_003.jpg,basketball,3,a man is playing basketball in the dark
video2877,video2877_frame_004.jpg,basketball,4,a man is standing on a basketball court
video2877,video2877_frame_005.jpg,basketball,5,a man is standing in front of a bar
video2877,video2877_frame_006.jpg,basketball,6,a man in a red jersey is holding a basketball ball
video2877,video2877_frame_007.jpg,basketball,7,a man in a white shirt is standing next to a basketball player
video2877,video2877_frame_008.jpg,basketball,8,a basketball game with a player in the middle of the court
video2877,video2877_frame_009.jpg,basketball,9,a basketball game with a crowd watching
video2877,video2877_frame_010.jpg,basketball,10,the nba game that started in the 1990s
video2877,video2877_frame_011.jpg,basketball,11,the nba game that started in the 1990s
video2994,video2994_frame_000.jpg,basketball,0,nba live game on the tv screen
video2994,video2994_frame_001.jpg,basketball,1,nba game highlights
video2994,video2994_frame_002.jpg,basketball,2,the spurs'game winning shot
video2994,video2994_frame_003.jpg,basketball,3,"kobe, lakers, and lakers, lakers, lakers, lakers, lakers, lakers, lakers, lakers, lakers, lakers, lakers, lakers"
video2994,video2994_frame_004.jpg,basketball,4,a basketball player is about to shoot the ball
video2994,video2994_frame_005.jpg,basketball,5,a basketball player duns the ball into the hoop
